,PoS,Token
133,VERB,承诺
134,VERB,留
135,ADP,在
136,NOUN,行浦
137,PRON,他
138,VERB,说
139,PUNCT,“
140,ADP,正如
141,PRON,我
142,VERB,加盟
143,PART,的
144,NUM,第一
145,NUM,天
146,PRON,我
147,ADP,对
148,NOUN,俱乐部
149,PART,的
150,NOUN,承诺
151,CCONJ,和
152,NOUN,忠诚度
153,CCONJ,和
154,PROPN,球迷
155,VERB,一样
156,PUNCT,。
157,ADV,而
158,NOUN,文化
159,NOUN,资本
160,ADV,即
161,VERB,是
162,VERB,指
163,VERB,包含
164,PART,了
165,VERB,可以
166,VERB,赋予
167,NOUN,权力
168,CCONJ,和
169,NOUN,地位
170,PART,的
171,NOUN,累积
172,NOUN,文化
173,NOUN,知识
174,PART,的
175,NUM,一
176,NUM,种
177,NOUN,社会
178,NOUN,关系
179,PUNCT,。
180,ADJ,快速
181,PART,的
182,NOUN,二日
183,NOUN,飞掠
184,NOUN,任务
185,PUNCT,（
186,NOUN,1965年
187,NOUN,7月
188,NOUN,14
189,CCONJ,至
190,NOUN,15日
191,PUNCT,）
192,VERB,提供
193,PART,了
194,NOUN,火星
195,NOUN,气候
196,VERB,有限
197,PART,而
198,VERB,粗略
199,PART,的
200,NOUN,模式
201,PUNCT,。
202,ADV,因此
203,PROPN,白矮星
204,NOUN,太阳
205,ADV,将
206,ADV,逐渐
207,VERB,冷却
208,ADV,越来越
209,VERB,黯淡
210,PUNCT,。
211,PROPN,里奇
212,ADV,则
213,VERB,是
214,ADV,更
215,VERB,希望
216,VERB,爱
217,NOUN,瑟儿
218,VERB,能
219,ADP,在
220,PRON,他
221,PART,的
222,NOUN,夜总会
223,NOUN,表演
224,ADP,因为
225,PRON,她
226,VERB,有
227,NOUN,露西
228,PART,所
229,ADV,不
230,VERB,具备
231,PART,的
232,NOUN,歌舞
233,NOUN,能力
234,PUNCT,。
235,NUM,同一
236,NUM,种
237,NOUN,资产
238,ADP,在
239,ADJ,不同
240,NOUN,市场
241,PART,上
242,NOUN,价格
243,VERB,不同
244,PUNCT,（
245,VERB,违背
246,PART,了
247,PUNCT,“
248,NUM,一
249,NUM,价
250,NOUN,定律
251,PUNCT,”
252,PUNCT,）
253,PUNCT,。
254,PROPN,拉冯
255,VERB,是
256,NOUN,1936年
257,PROPN,民主党
258,NOUN,全国
259,NOUN,委员会
260,NOUN,委员
261,ADV,但
262,ADV,却
263,VERB,决定
264,ADV,不
265,VERB,出席
266,DET,这
267,NUM,年
268,PART,的
269,ADJ,全国
270,NOUN,大会
271,PUNCT,。
272,ADV,主要
273,ADP,由
274,NUM,两
275,NUM,种
276,NOUN,方法
277,PART,来
278,VERB,做
279,ADP,根据
280,NOUN,主题
281,PART,的
282,NOUN,文档
283,NOUN,分类
284,PUNCT,：
285,ADP,基于
286,NOUN,内容
287,PART,的
288,NOUN,方法
289,CCONJ,以及
290,ADP,基于
291,NOUN,请求
292,PART,的
293,NOUN,方法
294,PUNCT,。
295,NOUN,当今
296,NOUN,所观
297,PUNCT,。
298,PROPN,罗马尼亚
299,NOUN,华人
300,VERB,是
301,PROPN,罗马尼亚
302,NUM,少数
303,NOUN,族群
304,NOUN,之一
305,PUNCT,。
306,PUNCT,“
307,ADP,向
308,NOUN,国家
309,VERB,投降
310,PUNCT,！
311,PUNCT,”
312,PROPN,约瑟夫·韦斯特曼
313,ADP,用
314,NOUN,德文
315,ADV,大
316,VERB,喊
317,PUNCT,。
318,PROPN,埃塞俄比亚
319,NOUN,中央
320,NOUN,统计局
321,NOUN,资料
322,VERB,显示
323,PROPN,阿瓦什河
324,VERB,全长
325,NUM,1200
326,NUM,公里
327,PUNCT,。
328,PROPN,苏联
329,NOUN,佔据
330,VERB,捷克斯洛伐克
331,PUNCT,(
332,NOUN,1968年
333,PROPN,)
334,PART,之后
335,PRON,他
336,VERB,决定
337,VERB,留在
338,PROPN,德国
339,PUNCT,(
340,PROPN,1970年
341,PROPN,)
342,PUNCT,。
343,NOUN,故事
344,NOUN,舞台
345,VERB,设定
346,ADP,在
347,NOUN,现代
348,PART,的
349,PROPN,日本
350,PUNCT,。
351,ADP,为了
352,VERB,增加
353,PRON,他们
354,VERB,发现
355,PROPN,泰坦尼克号
356,NOUN,残骸
357,PART,的
358,NOUN,机会
359,ADV,小队
360,VERB,雇用
361,PART,了
362,NUM,一
363,NUM,件
364,NOUN,能力
365,ADV,更
366,VERB,强
367,PART,的
368,ADJ,声纳
369,NOUN,设施
370,NOUN,"""Scripps"
371,VERB,Deep
372,NOUN,Tow
373,NOUN,"""号"
374,PUNCT,。
375,NOUN,桥
376,PART,的
377,NOUN,北端
378,VERB,是
379,PROPN,爱丁堡
380,PROPN,新城
381,PART,的
382,PROPN,王子街
383,PRON,其
384,NOUN,西侧
385,VERB,是
386,PROPN,巴尔莫勒尔
387,NOUN,饭店
388,ADV,最初
389,VERB,是
390,PROPN,北不列
391,NOUN,颠酒店
392,NOUN,北
393,PROPN,不列颠
394,NOUN,铁路
395,NOUN,公司
396,PART,的
397,NOUN,酒店
398,VERB,服务
399,ADP,于
400,VERB,毗邻
401,PART,的
402,PROPN,爱丁堡
403,PROPN,威瓦利站
404,PUNCT,。
405,PROPN,中国
406,NOUN,驻柏
407,PROPN,林使馆
408,ADV,也
409,VERB,收到
410,PART,了
411,ADJ,失踪
412,PART,的
413,NOUN,报告
414,PUNCT,。
415,VERB,同样
416,PART,地
417,NOUN,1852年
418,PROPN,奥地
419,NOUN,利刑
420,NOUN,法典
421,ADV,亦
422,VERB,规定
423,PUNCT,“
424,NOUN,协议
425,PUNCT,……
426,VERB,用来
427,VERB,提高
428,NOUN,商品
429,NOUN,价格
430,PUNCT,……
431,VERB,不利于
432,ADJ,公共
433,NOUN,利益者
434,VERB,应
435,VERB,处予
436,NOUN,轻罪
437,PUNCT,。
438,PROPN,埃马纽埃尔·马克龙
439,ADP,在
440,NOUN,2017年
441,NOUN,5月
442,NOUN,14日
443,VERB,成为
444,NOUN,总统
445,VERB,接替
446,NOUN,弗朗
447,PROPN,索瓦·奥朗德
448,PUNCT,。
449,NOUN,尼泊尔人
450,VERB,来到
451,PROPN,俄罗斯
452,VERB,是
453,ADP,在
454,PROPN,苏联
455,NOUN,时期
456,PRON,他们
457,VERB,来
458,PROPN,苏联
459,VERB,读书
460,CCONJ,和
461,VERB,接受
462,NOUN,训练
463,ADV,大约
464,VERB,超过
465,NUM,6000
466,NUM,位
467,PROPN,尼泊尔
468,NOUN,留学生
469,ADP,从
470,PROPN,苏联
471,DET,各
472,NOUN,大学
473,VERB,毕业
474,VERB,成为
475,NOUN,律师
476,NOUN,新闻
477,NOUN,工作者
478,PUNCT,、
479,NOUN,医生
480,CCONJ,和
481,NOUN,工程师
482,PUNCT,。
483,NUM,大多数
484,NOUN,植物
485,PART,的
486,NOUN,色素
487,NOUN,体都
488,VERB,来自
489,NOUN,其中
490,NUM,一个
491,NOUN,父母
492,PUNCT,。
493,VERB,带状
494,NOUN,特征
495,CCONJ,和
496,NOUN,外流
497,VERB,继续
498,VERB,发展
499,PROPN,法
500,NOUN,比安
501,PART,的
502,NOUN,中心
503,NOUN,周围
504,VERB,有
505,ADJ,环形
506,NOUN,对流
507,VERB,形成
508,VERB,到
509,PART,了
510,NOUN,8月
511,NOUN,30日
512,NOUN,飓风
513,ADP,在
514,ADV,逐渐
515,VERB,减慢
516,ADP,向
517,NOUN,西北
518,ADJ,偏西
519,NOUN,方向
520,NOUN,前进
521,NOUN,速度
522,PART,的
523,NOUN,过程
524,PART,中
525,VERB,达到
526,NOUN,飓风
527,NOUN,强度
528,PUNCT,。
529,ADP,在
530,ADV,不
531,VERB,成功
532,PART,的
533,VERB,拍摄
534,PUNCT,“
535,ADV,太
536,VERB,奇怪
537,PUNCT,”
538,PUNCT,、
539,PUNCT,“
540,ADV,太
541,VERB,模糊
542,PUNCT,”
543,PART,的
544,NOUN,电影
545,PART,后
546,PROPN,艾格斯
547,VERB,意识
548,VERB,到
549,PRON,他
550,VERB,必须
551,VERB,制作
552,ADV,一个
553,ADV,更
554,ADJ,传统
555,PART,的
556,NOUN,电影
557,PUNCT,。
558,VERB,类似
559,PART,的
560,VERB,坐
561,NOUN,标图
562,ADP,对
563,NOUN,南半球
564,ADV,也
565,VERB,存在
566,PUNCT,。
567,NOUN,移动
568,NOUN,设备
569,ADV,同时
570,ADV,也
571,VERB,会
572,X,将
573,NOUN,当前
574,PART,的
575,NOUN,位置
576,NOUN,区码
577,PUNCT,（
578,PROPN,LAC
579,PUNCT,）
580,VERB,存储
581,VERB,到
582,NOUN,SIM卡
583,PART,中将
584,PROPN,LAC添加
585,VERB,到
586,PUNCT,“
587,NOUN,最近
588,VERB,使用
589,PART,过
590,PART,的
591,NOUN,LAC列表
592,PUNCT,”
593,PART,的
594,NOUN,后面
595,PUNCT,。
596,PUNCT,”
597,VERB,帕斯特尔纳克
598,PART,的
599,NOUN,父亲
600,ADP,在
601,ADJ,执法
602,NOUN,部门
603,VERB,工作
604,ADP,为
605,PROPN,乌克兰机
606,VERB,密局
607,VERB,为期
608,NUM,26
609,NUM,年
610,PUNCT,。
611,ADV,但是
612,PRON,我
613,VERB,坚持
614,ADV,不是
615,NUM,少数
616,PART,的
617,NOUN,寄生虫
618,ADV,而是
619,NOUN,大众
620,PRON,自身
621,ADP,应为
622,DET,这
623,ADJ,可怕
624,PART,的
625,NOUN,事态
626,VERB,负责
627,PUNCT,。
628,PRON,这
629,ADV,也
630,VERB,解释
631,PART,了
632,PROPN,为什麽
633,PROPN,日冕
634,NOUN,物质
635,NOUN,抛射
636,CCONJ,和
637,NOUN,闪焰
638,ADV,通常
639,VERB,会
640,ADP,从
641,NOUN,太阳
642,PART,上
643,PROPN,磁场
644,ADP,比
645,ADV,平均
646,VERB,要强
647,PART,的
648,ADV,多
649,X,被
650,VERB,称为
651,NOUN,活跃区
652,PART,的
653,NOUN,活动
654,NOUN,区域
655,VERB,爆发
656,PUNCT,。
657,NOUN,马克思主义
658,ADP,通过
659,VERB,留学
660,NOUN,国外
661,PART,的
662,NOUN,资本主义
663,NOUN,知识分子
664,CCONJ,和
665,VERB,来自
666,PROPN,意大利
667,PART,的
668,NOUN,马克思主义者
669,X,被
670,VERB,传播
671,VERB,到
672,PROPN,利比亚
673,PUNCT,。
674,PRON,他
675,ADV,曾
676,VERB,说
677,PUNCT,：
678,PUNCT,“
679,ADP,对于
680,DET,一个
681,VERB,拥有
682,NUM,四
683,NUM,个
684,NOUN,组委会
685,CCONJ,和
686,NUM,四
687,NUM,个
688,NOUN,媒体
689,NOUN,中心
690,CCONJ,以及
691,NUM,一系列
692,NOUN,财政
693,NOUN,问题
694,PART,的
695,NOUN,执委会
696,PART,来说
697,VERB,开展
698,NOUN,工作
699,VERB,困难重重
700,PUNCT,。
701,DET,这个
702,NOUN,决定
703,X,被
704,VERB,视为
705,VERB,阻止
706,PART,了
707,ADP,基于
708,PROPN,美国
709,CCONJ,及其
710,PROPN,北约
711,NOUN,盟国
712,ADJ,错误
713,NOUN,数据
714,PART,的
715,ADJ,报复性
716,NOUN,核
717,NOUN,攻击
718,VERB,可能
719,VERB,导致
720,NOUN,冷战
721,NOUN,僵局
722,ADV,立即
723,VERB,升级
724,VERB,到
725,NUM,一
726,NUM,场
727,ADJ,全面
728,PART,的
729,NOUN,核战争
730,PUNCT,。
731,DET,这
732,NUM,一
733,NOUN,区域
734,VERB,包括
735,NOUN,今日
736,PART,的
737,PROPN,比利时
738,CCONJ,和
739,PROPN,卢森堡
740,PART,的
741,DET,全部
742,CCONJ,以及
743,PROPN,法国
744,CCONJ,和
745,PROPN,德国
746,NOUN,北部
747,PART,的
748,NUM,部分
749,NOUN,地区
750,PUNCT,。
751,DET,该
752,NOUN,术语
753,VERB,意指
754,NOUN,设计
755,NOUN,团队
756,ADP,在
757,ADV,未
758,VERB,使用
759,NOUN,竞争
760,NOUN,对手
761,DET,任何
762,NOUN,专有
763,NOUN,技术
764,NOUN,知识
765,PART,的
766,PUNCT,“
767,VERB,干净
768,PUNCT,”
769,CCONJ,或
770,ADV,明显
771,ADV,不
772,VERB,受
773,NOUN,污染
774,PART,的
775,NOUN,环境
776,PART,中
777,VERB,工作
778,PUNCT,。
779,PUNCT,《
780,PROPN,超感
781,NUM,8
782,NOUN,人
783,NOUN,组
784,PUNCT,》
785,NOUN,拍摄
786,NOUN,期间
787,PROPN,沃卓斯基
788,NOUN,姐妹
789,ADV,每天
790,VERB,完成
791,NUM,10
792,CCONJ,至
793,NUM,15
794,NUM,页
795,NOUN,剧本
796,ADV,远远
797,VERB,超过
798,PRON,她们
799,ADP,在
800,ADJ,常规
801,ADJ,大
802,NOUN,制作
803,NOUN,电影
804,PART,中
805,PART,的
806,NOUN,每天
807,NUM,2-3
808,NUM,页
809,PUNCT,。
810,NOUN,目前
811,VERB,使用
812,NOUN,油轮
813,NOUN,卡车
814,X,将
815,NOUN,酒
816,ADP,从
817,NOUN,种植园
818,VERB,运到
819,NOUN,下游
820,NOUN,Barcos
821,PROPN,Rabelos
822,ADV,仅仅
823,VERB,用来
824,NOUN,竞技
825,CCONJ,或
826,NOUN,展览
827,PUNCT,。
828,ADP,与
829,PROPN,之
830,ADJ,相反
831,NOUN,政府
832,NOUN,一方
833,PART,的
834,NOUN,律师
835,VERB,坚称
836,NOUN,文章
837,PART,中
838,VERB,有
839,ADV,不
840,VERB,属于
841,ADJ,公有
842,NOUN,领域
843,PART,的
844,ADJ,敏感
845,NOUN,信息
846,SCONJ,如果
847,VERB,公布
848,ADV,将
849,VERB,会
850,ADP,对
851,VERB,防止
852,NOUN,核武器
853,NOUN,扩散
854,VERB,构成
855,ADJ,不利
856,NOUN,影响
857,PUNCT,。
858,PROPN,菲谢尔·希尔斯凯
859,PROPN,Fishel
860,PROPN,Shilsky
861,NOUN,aka
862,PROPN,Tateh
863,PUNCT,:
864,PROPN,路德
865,PART,的
866,NOUN,爸爸
867,PUNCT,。
868,NOUN,首演
869,ADP,于
870,NOUN,1943年
871,NOUN,10月
872,NOUN,9日
873,VERB,进行
874,ADP,由
875,PROPN,伊戈尔·施维佐夫
876,PUNCT,（
877,NOUN,Igor
878,NOUN,Schwezoff
879,PUNCT,）
880,VERB,改编
881,PROPN,鲍里斯·阿伦森
882,PUNCT,（
883,PROPN,Boris
884,NOUN,Aronson
885,PUNCT,）
886,VERB,负责
887,NOUN,舞台
888,NOUN,布景
889,PUNCT,。
890,NOUN,游戏
891,ADV,最初
892,VERB,是
893,ADV,专
894,VERB,为
895,PROPN,Micros
896,ADP,of
897,VERB,t
898,PROPN,Windows
899,CCONJ,和
900,PROPN,Xbox
901,NUM,360
902,NOUN,平台
903,VERB,开发
904,NOUN,工作量
905,NOUN,均等
906,PUNCT,。
907,ADP,在
908,PRON,他
909,VERB,发给
910,PROPN,约翰·洛克
911,PART,的
912,PART,一个
913,ADV,从未
914,VERB,发表
915,PART,的
916,NOUN,手稿
917,PART,中
918,PRON,他
919,VERB,质疑
920,PART,了
921,NUM,三位一体
922,PART,的
923,NOUN,存在性
924,PUNCT,。
925,PROPN,立陶
926,NOUN,宛语
927,NOUN,名字
928,ADP,在
929,DET,各
930,VERB,编年
931,NOUN,史作者
932,NOUN,耳
933,PART,中
934,VERB,听来
935,VERB,模糊不清
936,ADV,比较
937,VERB,陌生
938,ADV,所以
939,DET,这些
940,NOUN,人
941,ADP,对
942,PROPN,立陶
943,NOUN,宛语
944,NOUN,名字
945,VERB,做出
946,NUM,些许
947,NOUN,改动
948,PART,以
949,VERB,使
950,PRON,它们
951,VERB,听来
952,ADV,更
953,ADP,像
954,PRON,他们
955,NOUN,母语
956,PART,的
957,NOUN,名字
958,PUNCT,。
959,NOUN,2011年
960,NOUN,本片
961,ADV,正式
962,VERB,失去
963,VERB,戴
964,PUNCT,-
965,PROPN,路易斯
966,PUNCT,、
967,PROPN,狄奥·托罗
968,CCONJ,和
969,PROPN,贾西亚·贝纳
970,PART,的
971,NOUN,参与
972,PUNCT,。
973,ADP,随着
974,NOUN,时间
975,PART,的
976,VERB,推移
977,NOUN,核心
978,NOUN,家庭
979,PART,中
980,NOUN,传统
981,PUNCT,“
982,NOUN,父亲
983,PUNCT,”
984,CCONJ,和
985,PUNCT,“
986,NOUN,母亲
987,PUNCT,”
988,NOUN,角色
989,PART,的
990,NOUN,界限
991,ADV,已经
992,VERB,变得
993,VERB,模糊
994,PUNCT,。
995,NOUN,一家人
996,ADV,都
997,ADP,对
998,NOUN,音乐
999,VERB,感兴趣
1000,CCONJ,并
1001,VERB,收集
1002,PART,了
1003,NUM,一些
1004,NOUN,乐器
1005,PUNCT,。
1006,NOUN,2003年
1007,ADP,在
1008,PRON,他
1009,PART,的
1010,NOUN,文章
1011,PUNCT,《
1012,NOUN,Wiki
1013,PART,的
1014,NOUN,原则
1015,PUNCT,：
1016,NOUN,大脑
1017,PART,的
1018,NOUN,舞蹈
1019,PUNCT,》
1020,PUNCT,（
1021,NOUN,Das
1022,NOUN,Wiki
1023,PUNCT,-
1024,PROPN,Prinzip
1025,PUNCT,:
1026,NOUN,Tan
1027,NOUN,z
1028,NOUN,der
1029,PROPN,Gehirne
1030,PUNCT,）
1031,PART,中
1032,PRON,他
1033,VERB,给出
1034,PART,了
1035,VERB,维基百科
1036,CCONJ,和
1037,NOUN,wiki
1038,PART,的
1039,NUM,一些
1040,NOUN,背景
1041,ADV,同时
1042,ADV,也
1043,VERB,阐述
1044,PART,了
1045,PRON,他
1046,ADP,对
1047,DET,该
1048,NOUN,项目
1049,VERB,优点
1050,PART,的
1051,NOUN,了解
1052,PUNCT,、
1053,VERB,防止
1054,NOUN,破坏
1055,NOUN,条目
1056,PART,的
1057,NOUN,方法
1058,CCONJ,和
1059,NOUN,维基
1060,NUM,百科用户
1061,PART,的
1062,NOUN,礼仪
1063,PART,等
1064,NOUN,观点
1065,PUNCT,。
1066,NOUN,2008年
1067,PART,底
1068,PART,时
1069,PROPN,路透社
1070,NOUN,新闻
1071,ADV,曾
1072,VERB,报导
1073,PUNCT,：
1074,ADP,由于
1075,PROPN,柬埔寨
1076,PART,的
1077,NOUN,鼠肉
1078,NOUN,售价
1079,VERB,急升
1080,NUM,四
1081,NUM,倍
1082,VERB,令
1083,NOUN,当地
1084,NOUN,穷人
1085,ADV,无法
1086,ADV,再
1087,VERB,负担
1088,PUNCT,。
1089,ADV,但
1090,NOUN,论战
1091,PRON,双方
1092,ADV,都
1093,ADV,已
1094,VERB,受到
1095,ADV,不
1096,VERB,小
1097,PART,的
1098,NOUN,伤害
1099,PUNCT,。
1100,PRON,这
1101,VERB,使
1102,NOUN,城邦们
1103,VERB,可以
1104,VERB,维持
1105,PRON,自身
1106,PART,的
1107,NOUN,自主性
1108,ADV,也
1109,VERB,可以
1110,ADP,与
1111,ADJ,强盛
1112,PART,的
1113,NOUN,敌人
1114,VERB,对抗
1115,PUNCT,。
1116,NOUN,战后
1117,NOUN,邮局
1118,CCONJ,和
1119,NOUN,铁路
1120,NOUN,文件
1121,ADP,连同
1122,NOUN,国家
1123,NOUN,表格
1124,PUNCT,、
1125,NOUN,公债
1126,CCONJ,和
1127,NOUN,彩票
1128,ADV,再次
1129,VERB,得以
1130,NOUN,印刷
1131,PUNCT,。
1132,NOUN,2007年
1133,NOUN,3月
1134,ADV,据说
1135,NOUN,詹姆森
1136,ADP,因
1137,PRON,其
1138,NOUN,最近
1139,ADV,阴道
1140,VERB,成
1141,VERB,形术
1142,PART,的
1143,NOUN,问题
1144,VERB,缺席
1145,CCONJ,与
1146,NOUN,制片人
1147,PART,的
1148,NOUN,会议
1149,ADV,从而
1150,VERB,危及
1151,NOUN,电影
1152,PART,的
1153,NOUN,拍摄
1154,PUNCT,。
1155,ADJ,通常
1156,NUM,一
1157,NUM,位
1158,NOUN,地基
1159,PART,的
1160,NOUN,观测者
1161,PART,的
1162,NOUN,观测
1163,NOUN,资料
1164,VERB,包括
1165,NOUN,时间
1166,VERB,标记
1167,PUNCT,、
1168,PROPN,方位角
1169,PUNCT,、
1170,PROPN,高度角
1171,PUNCT,、
1172,NOUN,斜距
1173,CCONJ,和
1174,PUNCT,/
1175,CCONJ,或
1176,NOUN,范围
1177,VERB,率值
1178,PUNCT,。
1179,NOUN,2015年
1180,NOUN,1月
1181,PROPN,比利时
1182,VERB,发起
1183,ADJ,反恐
1184,NOUN,行动
1185,VERB,端掉
1186,ADV,一个
1187,VERB,策划
1188,ADP,在
1189,PROPN,布鲁塞尔
1190,CCONJ,和
1191,PROPN,扎芬
1192,NOUN,特姆
1193,VERB,制造
1194,NUM,第二
1195,NUM,起
1196,VERB,查理
1197,NOUN,周刊
1198,NOUN,总部
1199,NOUN,枪击案
1200,PART,的
1201,NOUN,团伙
1202,PUNCT,。
1203,PRON,他
1204,ADV,后来
1205,ADP,在
1206,PROPN,耶鲁
1207,NOUN,大学
1208,NOUN,戏剧
1209,NOUN,学院
1210,PUNCT,（
1211,NOUN,英语
1212,PUNCT,：
1213,NOUN,Yale
1214,PROPN,School
1215,ADP,of
1216,NOUN,Drama
1217,PUNCT,）
1218,VERB,获得
1219,PART,了
1220,NOUN,艺术
1221,NOUN,创作
1222,NOUN,硕士
1223,NOUN,学位
1224,CCONJ,且
1225,ADP,在
1226,PRON,那
1227,ADV,还
1228,VERB,认识
1229,PART,了
1230,NOUN,同学
1231,CCONJ,及
1232,PRON,他
1233,NOUN,未来
1234,PART,的
1235,NOUN,妻子
1236,PROPN,安琪拉·贝瑟
1237,PUNCT,。
1238,NOUN,2010年
1239,VERB,非
1240,NOUN,营利
1241,NOUN,组织
1242,NOUN,太空
1243,NOUN,基金会
1244,PUNCT,（
1245,NOUN,英语
1246,PUNCT,：
1247,PROPN,Space
1248,NOUN,Foundation
1249,PUNCT,）
1250,VERB,调查
1251,PART,了
1252,PROPN,美国
1253,NOUN,公众
1254,NOUN,心中
1255,ADV,最
1256,VERB,受
1257,NOUN,欢迎
1258,PART,的
1259,NOUN,太空
1260,NOUN,英雄
1261,PROPN,谢泼德
1262,CCONJ,与
1263,PROPN,巴兹·奥尔德林
1264,CCONJ,和
1265,PROPN,维吉尔·格里森
1266,VERB,并列
1267,NUM,第九
1268,NOUN,位
1269,PUNCT,。
1270,PROPN,雷定
1271,NUM,五
1272,NOUN,世
1273,PART,的
1274,NOUN,故事
1275,PUNCT,〈
1276,NOUN,圣灵
1277,PART,的
1278,NOUN,兄弟
1279,PUNCT,〉
1280,VERB,是
1281,PROPN,布伦丹·康奈尔
1282,PART,的
1283,PROPN,故事集
1284,PUNCT,《
1285,PROPN,波利克拉
1286,PART,的
1287,NOUN,一生
1288,CCONJ,和
1289,DET,其他
1290,NOUN,童话
1291,PUNCT,》
1292,NOUN,其中
1293,NUM,一
1294,NUM,篇
1295,NOUN,短篇
1296,PUNCT,。
1297,VERB,来自
1298,ADV,不
1299,VERB,相重
1300,VERB,迭
1301,NOUN,区域
1302,PART,的
1303,NOUN,鲸唱
1304,PART,的
1305,NOUN,歌声
1306,ADJ,基本
1307,NOUN,单位
1308,ADV,完全
1309,VERB,不同
1310,PUNCT,。
1311,PRON,他
1312,VERB,出生
1313,ADP,在
1314,PROPN,华盛顿
1315,NOUN,特区
1316,PRON,他
1317,PART,的
1318,NOUN,父亲
1319,VERB,是
1320,NUM,一
1321,NUM,名
1322,NOUN,外交官
1323,PUNCT,。
1324,PROPN,该党
1325,VERB,概述
1326,PART,了
1327,NUM,三
1328,NUM,个
1329,ADJ,重点
1330,NOUN,即民
1331,NOUN,政党
1332,PART,的
1333,NOUN,意识
1334,NOUN,形态
1335,NOUN,政策
1336,NOUN,方向
1337,CCONJ,及
1338,VERB,倡导
1339,PROPN,马来西亚
1340,ADV,各种
1341,ADJ,重大
1342,NOUN,问题
1343,PART,的
1344,NOUN,解决
1345,NOUN,方案
1346,ADP,以
1347,VERB,重建
1348,NOUN,重塑
1349,CCONJ,及
1350,NOUN,重振党
1351,DET,各
1352,NOUN,阶层
1353,ADP,以
1354,ADV,重
1355,VERB,获
1356,NOUN,人民
1357,PART,的
1358,NOUN,信任
1359,PUNCT,。
1360,DET,该
1361,NOUN,月
1362,VERB,刊以
1363,ADV,每年
1364,VERB,订阅
1365,NUM,一
1366,NUM,次
1367,VERB,提供
1368,VERB,给
1369,NOUN,读者
1370,CCONJ,并且
1371,NOUN,读者群
1372,VERB,来自
1373,VERB,超过
1374,NOUN,全世界
1375,NUM,140
1376,NUM,个
1377,NOUN,国家
1378,PART,的
1379,NOUN,运输业
1380,NOUN,专业
1381,NOUN,人士
1382,CCONJ,和
1383,NOUN,决策者
1384,PUNCT,、
1385,NOUN,铁路
1386,NOUN,管理者
1387,PUNCT,、
1388,NOUN,工程师
1389,PUNCT,、
1390,NOUN,顾问
1391,CCONJ,和
1392,NOUN,铁路业
1393,PART,的
1394,NOUN,供应商
1395,PUNCT,。
1396,ADP,在
1397,VERB,杀
1398,PART,了
1399,NOUN,当地
1400,PART,的
1401,NOUN,危险
1402,VERB,杀人
1403,VERB,蟒蛇
1404,PART,后
1405,VERB,得到
1406,NOUN,当地
1407,NOUN,部落
1408,PROPN,许可
1409,NOUN,定居于
1410,NOUN,当地
1411,PRON,他们
