translation
"{'en': 'In 1835 he met and befriended Taras Shevchenko.', 'fr': 'En juillet 1835 il rencontre et se lie avec Taras Chevtchenko.'}"
"{'en': 'The track hosted the first two-woman bobsleigh world championships in 2000.', 'fr': 'La piste a accueilli les premiers championnats du monde de bobsleigh féminin en 2000.'}"
"{'en': 'Three centuries later between 1840 and 1900 the church was gradually restored: the vault in 1840 interior parts in 1852 the bell-tower in 1855.', 'fr': 'Ce fut près de trois siècles plus tard entre 1840 et 1900 que l’église fut progressivement restaurée : la voûte en 1840 les parties intérieures en 1852 le clocher en 1855.'}"
"{'en': 'Thomson a fifth generation Fijian was born to British colonial administrator Sir Ian Thomson (Colonial Secretary in the 1960s and later as Governor of the British Virgin Islands) and his wife Lady Nancy Thomson.', 'fr': ""Thomson est un fidjien de cinq générations enfant d'un administrateur colonial britannique Sir Ian Thomson (qui fut secrétaire aux colonies dans les années 1960 puis Gouverneur des Îles Vierges britanniques) et de sa femme Lady Nancy Thomson.""}"
"{'en': 'Once a transgender individual has undergone sex reassignment that person legally becomes the new sex.', 'fr': ""Une fois qu'une personne trans a bénéficié d'une chirurgie de réattribution sexuelle elle devient légalement une personne de ce sexe.""}"
"{'en': 'The title of Duc de Saint-Cloud was created in 1674 for the archbishops.', 'fr': 'Le titre de duc de Saint-Cloud attaché à celui de pair de France a été créé en 1674 pour les archevêques.'}"
"{'en': 'Bolland says that ""the end result wasn\'t quite what I\'d hoped.', 'fr': ""Bolland a dit que « le résultat final n'est pas vraiment ce que j'espérais.""}"
"{'en': 'It is equivalent to Guhyapāda vajra in Sanskrit.', 'fr': ""C'est l'équivalent de Guhyapāda vajra en Sanskrit.""}"
"{'en': 'This gives the set of all symplectic matrices the structure of a group.', 'fr': ""Ceci donne à l'ensemble de toutes les matrices symplectiques la structure d'un groupe.""}"
"{'en': 'In France the movement is led by a religious association called ""Culte Antoiniste"" (""Antoinist Worship"").', 'fr': 'En France le mouvement est dirigé par une association religieuse appelée « Culte antoiniste ».'}"
"{'en': 'Graduating from the École normale supérieure at 19 he taught at various institutions including the Protestant Seminary at Strasbourg the Lycée Louis-le-Grand and the Sorbonne where in 1879 he was appointed professor of ancient philosophy.', 'fr': 'Il a enseigné dans différentes institutions comme le Séminaire protestant de Strasbourg le lycée Louis-le-Grand et la Sorbonne où il est en 1879 nommé professeur de philosophie ancienne.'}"
"{'en': 'The Botanical garden of Upper Brittany is located on the village of Le Châtellier (Ille-et-Vilaine) approximately 10 kilometers from the city of Fougères between Rennes and the Mont Saint-Michel near the A84 motorway.', 'fr': 'Le jardin botanique de Haute-Bretagne se situe sur la commune du Châtellier à dix kilomètres de Fougères entre Rennes et le Mont Saint-Michel à proximité de l’autoroute des Estuaires A84.'}"
"{'en': 'The small team also undertook the exploration of the Roman wreck of Mahdia (Tunisia).', 'fr': ""L'équipe explore aussi l'épave romaine de Mahdia en Tunisie.""}"
"{'en': 'Bashilov wrote a book of memoirs about reign of Paul I printed in posthumously in 1871.', 'fr': 'Bachilov a écrit un livre de mémoires imprimé à titre posthume en 1871.'}"
"{'en': 'It is an alloy of iron and nickel with nickel proportions of 20% up to 65%.', 'fr': ""C'est un alliage de fer et de nickel avec une teneur en nickel comprise entre 20% et 65%.""}"
"{'en': 'Rob Roy was born at Glengyle at the head of Loch Katrine as recorded in the baptismal register of Buchanan Stirling.', 'fr': 'Rob Roy est né à Glengyle au bord du Loch Katrine comme le certifie un extrait des registres du baptême de la paroisse de Buchanan.'}"
"{'en': 'Since 1984 the animal park has been owned by a charity (The John Aspinall Foundation).', 'fr': 'Depuis 1984 ce parc appartient par une organisation caritative la Fondation John Aspinall.'}"
"{'en': 'After the war Nash lived at Wormingford in Essex.', 'fr': 'Après la guerre John Nash vit à Wormingford dans l’Essex.'}"
"{'en': 'There is currently no government regulation of ticket pricing although the federal government retains jurisdiction over aircraft safety pilot training and accident investigations (through the Federal Aviation Administration and the National Transportation Safety Board).', 'fr': ""Le gouvernement fédéral maintient la juridiction sur la sécurité des avions l'entraînement des pilotes et les enquêtes en cas d'accident (avec la Federal Aviation Administration et le Conseil national de la sécurité des transports).""}"
"{'en': 'He resigned his commission on May 31 1845 to become a professor of mathematics and experimental philosophy at Cumberland University in Lebanon Tennessee and later attained the same position at the University of Nashville.', 'fr': ""Il démissionne le 31 mai 1845 pour devenir professeur de mathématiques et de philosophie expérimentale à l'université Cumberland à Lebanon Tennessee et ensuite à l'université de Nashville dans les mêmes fonctions.""}"
"{'en': 'In 1866 he won the Grand Prix de Rome with his cantata Dalila which was performed at the Paris Opera on February 21 1867.', 'fr': ""En 1866 il reçoit le Grand prix de Rome avec sa cantate Dalila donnée à l'Opéra de Paris le 21 février 1867.""}"
"{'en': 'Duret had a photographic memory and knew all the works of Hippocrates by heart.', 'fr': ""Duret avait une mémoire prodigieuse : on disait qu'il savait par cœur toutes les œuvres d'Hippocrate.""}"
"{'en': 'In 2008 the band released their fifth studio album Folie à Deux which debuted at No. 8 on the Billboard 200 with 150000 first week sales and was later certified gold.', 'fr': 'En 2008 le groupe a sorti son cinquième album studio Folie à Deux qui a fait ses débuts au 8e rang du Billboard 200 avec 150 000 ventes de la première semaine et a ensuite été certifié or.'}"
"{'en': 'At the beginning of World War II Melitta wanted to work for the Red Cross but was ordered to become a test pilot for the Luftwaffe at the central Erprobungsstelle test facility in Rechlin Mecklenburg.', 'fr': ""Au début de la Seconde Guerre mondiale Melitta travaille pour la Croix Rouge mais la Luftwaffe la mobilise de force et l'affecte au centre d'essais de Rechlin dans le Mecklembourg.""}"
"{'en': 'While the electronic barrier program in Laos became the most visible part of the anti-infiltration program the physical barrier project in South Vietnam was largely abandoned after 1968 in favor of mobile operations.', 'fr': 'Alors que le programme de barrière électronique au Laos devenait la partie la plus visible du programme anti-infiltration le projet de barrière physique au Sud Viêt Nam était largement mis de côté depuis 1968 au profit des opérations mobiles.'}"
"{'en': 'There are separate sections per European country with one section each discussing the Japanese in Belgium France Germany the Netherlands Spain and the United Kingdom.', 'fr': 'Il existe des sections par pays chacune des sections traitant des Japonais en Belgique en France en Allemagne aux Pays-Bas en Espagne et au Royaume-Uni.'}"
"{'en': 'Fujita a prominent scholar argued that Japanese civilization would end as a result of internal problems rather than external threats.', 'fr': 'Fujita Tōko un éminent chercheur fait valoir que la civilisation japonaise finirait en raison de problèmes internes plutôt que des menaces extérieures.'}"
"{'en': 'The show starred Andy Griffith in the role of Andy Taylor the widowed sheriff of the fictional small community of Mayberry North Carolina.', 'fr': ""The Andy Griffith Show suit les aventures d'Andy Taylor shérif de Mayberry petit bourg imaginaire de l'État de Caroline du Nord.""}"
"{'en': 'Separating the Spanish and the French was the Queiles River a tributary of the Ebro.', 'fr': ""Comme séparation naturelle entre les Espagnols et les Français se trouve le rio Queiles un affluent de l'Èbre.""}"
"{'en': 'Carpathian National Nature Park was established in 1980 by the decree of the Council of Ministers of Ukrainian Soviet Socialist Republic and included about a half of the area which previously belonged to the Carpathian State Reserve.', 'fr': ""Le parc national des Carpates est créé en 1980 par un décret du conseil des ministres de la République socialiste soviétique d'Ukraine et s'étend sur à peu près la moitié de la zone de l'ancienne réserve de biosphère.""}"
"{'en': 'However he was unable to attract new settlers because of high taxes and thus sold the land to those already in Batavia.', 'fr': ""Toutefois il est incapable d'attirer de nouveaux colons en raison des impôts élevés et vend donc le terrain à ceux qui sont déjà présents à Batavia.""}"
"{'en': 'This 3rd century mechanically driven directional-compass vehicle (employing a differential gear) was again reproduced in several models for Tenji in 666 as recorded in the Nihon Shoki of 720.', 'fr': ""Ce compas-véhicule datant du IIIe siècle (utilisant un mécanisme différentiel) fut à nouveau produit pour l'empereur japonais en 666 comme l'atteste le Nihon Shoki en 720.""}"
"{'en': 'He also leads the band Jemimah Puddleduck.', 'fr': 'Il mène également une carrière au sein de Jemimah Puddleduck.'}"
"{'en': 'He spent two years in Breslau and returned to Leipzig in 1789 to become cantor at the Thomaskirche conducting the Thomanerchor a position filled by Johann Sebastian Bach before.', 'fr': ""Il passe deux ans à Breslau et revint à Leipzig en 1789 pour devenir Thomaskantor à la Thomaskirche (l'église saint-Thomas) une fonction occupée auparavant par Johann Sebastian Bach.""}"
"{'en': 'Lyrically the album is dominated by themes associated with childhood.', 'fr': ""Pour les paroles l'album est dominé par des thèmes associés à l'enfance.""}"
"{'en': ""This series which retains the cast of the original adaptation dramatizes the new material included in Persona 4 Golden focusing on the protagonist's encounters with new character Marie."", 'fr': ""Cette série qui conserve la distribution de l'adaptation originale dramatise le nouveau matériel inclus dans Persona 4 Golden en mettant l'accent sur les rencontres du protagoniste avec Marie un nouveau personnage.""}"
"{'en': 'Staff at the centre have confirmed that two of the London bombers Shehzad Tanweer and Hasib Hussain frequented the HYAP.', 'fr': 'Des membres du personnel du centre confirmeront plus tard que deux des kamikazes de Londres Shehzad Tanweer et Hasib Hussain avaient eu des liens avec ce projet.'}"
"{'en': 'The Greeks expanded throughout the Black Sea and south through the Red Sea.', 'fr': ""Les Grecs poussèrent leur expansion au nord jusqu'à la mer Noire et au sud jusqu'à la mer Rouge.""}"
"{'en': 'The issue first emerged from a series of wartime Japanese-language newspaper articles which celebrated the ""heroic"" killing of Chinese by two Japanese officers who were engaged in a competition to see who could kill the most first.', 'fr': ""La question est apparue la première fois dans une série d'articles datant de la guerre dans des journaux en japonais qui célébraient le meurtre « héroïque » de Chinois par deux officiers japonais qui se sont engagés dans une compétition pour voir qui en tuerait le plus.""}"
"{'en': 'At Slammiversary Drake and Chris Adonis were defeated by Moose and DeAngelo Williams.', 'fr': 'Lors de Slammiversary 2017 lui et Chris Adonis perdent contre Moose et DeAngelo Williams.'}"
"{'en': 'In Venice he completed the elaborate funeral Monument of Bishop Francesco Morosini (1678) in San Nicolò da Tolentino.', 'fr': ""En 1678 à Venise il complète le monument funéraire de l'évêque Francesco Morosini (1678) à San Nicolò da Tolentino.""}"
"{'en': 'The Shepherd had great authority in the 2nd and 3rd centuries.', 'fr': ""Pourtant Le Pasteur jouit d'une certaine autorité durant les IIe et IIIe siècles.""}"
"{'en': 'Frederick Adolphus Philbrick (1835–1910 United Kingdom) founding member of the Philatelic Society London.', 'fr': 'Frederick Adolphus Philbrick (1835-1910 Royaume-Uni) membre fondateur de la Philatelic Society London.'}"
"{'en': ""That same night the Second Congress of Soviets adopted the Decree on Land which proclaimed that 'Landed proprietorship is abolished forthwith without compensation.'"", 'fr': 'Ensuite est promulgué le décret sur la terre : « la grande propriété foncière est abolie immédiatement sans aucune indemnité ».'}"
"{'en': 'The title follows his journey throughout the DCU and is divided into mini-arcs under one major story.', 'fr': 'Le titre suit son parcours tout au long du DCU et est divisé en mini-arcs.'}"
"{'en': 'Alexa began a partnership with Google in early 2002 and with the web directory DMOZ in January 2003.', 'fr': 'Alexa a signé un partenariat avec Google au printemps 2002 et avec l’Open Directory Project en janvier 2003.'}"
"{'en': '1998: La Liberté de blâmer... (preface by Jacques Laurent of the Académie française) édit.', 'fr': ""La Liberté de blâmer... (préface de Jacques Laurent de l'Académie française) édit.""}"
"{'en': 'In September he participated at the Western China International Art Biennale in Yinchuan and in a group show at Saatchi Gallery (London) in October.', 'fr': 'Puis en septembre il participe à la Western China International Art Biennale à Yinchuan et en octobre il expose en groupe à la galerie Saatchi de Londres.'}"
"{'en': ""Meanwhile Horace arrives at Callahan's motel to celebrate the easing of tensions in San Francisco."", 'fr': ""Pendant ce temps Horace arrive au motel où séjourne Callahan pour célébrer l'apaisement des tensions à San Francisco.""}"
"{'en': 'When they arrive Lea tells them of heir plans.', 'fr': 'Quand ils arrivent Lea leur raconte son plan.'}"
"{'en': 'According to Bede before the battle Oswiu prayed to God and promised to make his daughter a nun and grant twelve estates for the construction of monasteries if he was victorious.', 'fr': ""Selon Bède Oswiu aurait avant la bataille prié Dieu en lui promettant de faire entrer une de ses filles dans les ordres ainsi que la construction de monastères s'il était victorieux.""}"
"{'en': 'On Chinese ships and their crews Ibn Battuta stated: The sails of these vessels are made of strips of bamboo woven into the form of matting.', 'fr': 'Sur les navires chinois et leurs équipages Ibn Battûta écrit : « Les voiles de ces vaisseaux sont fabriqués de bandes de bambou tissées pour former un matage.'}"
"{'en': 'Stephanie Jallen was born on 13 February 1996 in Kingston Pennsylvania.', 'fr': 'Stephanie Jallen est née le 13 février 1996 à Kingston en Pennsylvanie.'}"
"{'en': 'Along with flanking troops McCann secured the wood capturing 15 prisoners and four machine guns allowing the advance to continue.', 'fr': ""Avec les troupes de flanc McCann sécurise le bois faisant 15 prisonniers et capturant quatre mitrailleuses permettant ainsi à l'avance de se poursuivre.""}"
"{'en': 'Sydney rescued 47 out of 225 men from the Italian destroyer and thirty six more escaped on rafts but only six of them were later found alive by Italian submarine Topazio almost 20 days later.', 'fr': 'Le Sydney sauva 47 hommes du destroyer italien et six autres furent retrouvés vivants par un sous-marin italien près de 20 jours plus tard.'}"
"{'en': 'The island provides good shelter to a natural harbour which is overlooked by the village of Isleornsay.', 'fr': ""L'île fournit un bon abri à un port naturel dans le village d'Isleornsay (en) .""}"
"{'en': 'The flash produced momentarily activates all light sensitive cells in the eye making vision impossible for approximately five seconds until the eye restores itself to its normal unstimulated state.', 'fr': ""Le processus biologique qui permet la désorientation est assez simple à décrire : Le flash lumineux active momentanément toutes les cellules photosensibles de la rétine rendant la vision impossible durant environ cinq secondes le temps pour l'œil de restaurer la rétine dans son état initial (état de repos).""}"
"{'en': 'He was promoted to colonel in command of the regiment on November 9 1862.', 'fr': 'Il est promu colonel au commandement du régiment le 9 novembre 1862.'}"
"{'en': ""The casualties amounted to 28 dead and 75 wounded on the French side; 1000 to 1500 dead and more than 3000 wounded on Rabah's side including women and children accompanying the army."", 'fr': ""Les pertes humaines s'élevèrent à 28 morts et 75 blessés du côté français ; 1 000 à 1 500 morts et plus de 3 000 blessés du côté de Rabah dont des femmes et des enfants qui accompagnaient l'armée.""}"
