article,sentences,no_anno,pos_anno,wa_anno
Alan Turing,"To calculate the extent of this, Turing would have needed a powerful computer, but these were not so freely available in 1951, so he had to use linear approximations to solve the equations by hand.","为 计算 这个 程度 的 程度, 图 灵 需要 一个 强大 的 计算机 但 这些 计算机 在 1951 年 并 没有 如此 自由 的 可用 因此 他 不得不 使用 线 近 点 来 亲 解决 这些 等 式","为 计算 其 程度, 图 灵 需要 一个 强大 的 计算机 但 这些 计算机 在 1951 年 并 没有 如此 自由 的 可用 因此 他 不得不 使用 线 近 点 来 亲 手 解决 这些 方程式","为 计算 这个 程度 的 程度, 图 灵 需要 一个 强大 的 计算机 但 这些 计算机 在 1951 年 没有 如此 免费 的 使用 因此 他 必须 使用 线 近 来 解决 人工 的 等 式"
Alan Turing,"These calculations gave the right qualitative results, and produced, for example, a uniform mixture that oddly enough had regularly spaced fixed red spots.",这些 计算 给出 了 正确 的 质量 结果 并 产生 例如 一种 统一 的 混合物 奇怪 地 经常 间 固定 的 红色 点,这些 计算 给出 了 正确 的 质量 结果 例如 产生 了 一个 统一 的 混合物 奇怪 地 经常 间隔 固定 的 红色 点,这些 计算 给出 了 正确 的 质量 结果 并 产生 例如 一种 统一 的 混合物 奇怪 地 经常 间 固定 的 红色 点
Alan Turing,"The Russian biochemist Boris Belousov had performed experiments with similar results, but could not get his papers published because of the contemporary prejudice that any such thing violated the second law of thermodynamics.",俄罗斯 生物 化学 学家 Boris Belousov 已经 进行 了 类似 的 实验 但 无法 发表 他 的 论文 因为 当代 的 偏见 任何 这种 东西 都 违反 了 热 动力 学 的 第二项 法律,俄罗斯 生物 化学 学家 Boris Belousov 曾 进行 类似 的 实验 但 无法 发表 他 的 论文 因为 当代 的 偏见 任何 这种 东西 都 违反 了 热 动力 的 第二项 法律,俄罗斯 的 生物 化学 学家 Boris Belousov 已经 进行 了 类似 的 实验 但 无法 得到 他 的 论文 因为 当代 的 偏见 任何 这种 的 行为 都 违反 了 热 动力 的 第二项 法律
Alan Turing,Belousov was not aware of Turing's paper in the Philosophical Transactions of the Royal Society.,Belousov 并不知道 Turing 在 皇家 协会 的 哲学 交易 中 的 论文,Belousov 并不知道 Turing 在 皇家 协会 哲学 交易 中 的 论文,Belousov 并不知道 Turing 在 皇家 协会 的 哲学 交易 中 的 论文
Alan Turing,"Although published before the structure and role of DNA was understood, Turing's work on morphogenesis remains relevant today and is considered a seminal piece of work in mathematical biology.",尽管 在 DNA 的 结构 和 作用 被 理解 之前 已经 公布 了  图 灵 关于 形态 产生 的 工作 今天 仍然 重要 并且 被视为 数学 生物学 的 重要 作品,尽管 在 DNA 的 结构 和 作用 被 理解 之前 已经 公布 了  图 灵 关于 摩 的 工作 今天 仍然 重要 并且 被视为 数学 生物学 的 重要 作品,尽管 在 DNA 的 结构和 作用 被 理解 之前 已经 公布 了  图 灵 关于 摩 的 工作 今天 仍然 重要 并且 被 认为 是 数学 生物学 中 的 重要 的 一项 工作
Alan Turing,"One of the early applications of Turing's paper was the work by James Murray explaining spots and stripes on the fur of cats, large and small.",图 灵 论文 的 早期 应用 之一 是 詹姆斯 默 的 作品 包括 大型 和 小型 猫 的 皮 上 的 斑点 和 条状,图 灵 论文 的 早期 应用 之一 是 詹姆斯 默 的 著作 写 在 猫 的 皮 上 的 斑点 和 条状,图 灵 的 论文 的 早期 应用 之一 是 詹姆斯 默 的 前 年 的 工作. 在 猫 的 皮 上 的 斑点 和 条状. 无论 大小
Alan Turing,"Further research in the area suggests that Turing's work can partially explain the growth of ""feathers, hair follicles, the branching pattern of lungs, and even the left-right asymmetry that puts the heart on the left side of the chest.""",这个 领域 的 进一步 研究 表明 图 灵 的 工作 可以 部分 延 于 1978 年 的 生长 包括 毛 、 毛 囊 、 肺 的 支 流 模式 甚至 将 心脏 放在 胸部 的 左 侧 的 左右 不对称 模式,这个 领域 的 进一步 研究 表明 图 灵 的 工作 可以 部分 排除 了 心脏 的 生长 和 头发 的 增长 以及 肺 的 支 出 模式 甚至 将 心脏 放在 胸部 的 左 侧 的 左右 不对称,这个 领域 的 进一步 研究 表明 图 灵 的 工作 可以 部分 排除 了 心脏 的 生长 和 头发 的 生长 和 肺 的 支 型 甚至 将 心脏 放在 胸部 的 左边 的 左右 的 不对称
Alan Turing,"In 2012, Sheth, et al.",2012 年 谢 等人,2012 年 谢 等人,2012 年 谢 等人
Alan Turing,"found that in mice, removal of Hox genes causes an increase in the number of digits without an increase in the overall size of the limb, suggesting that Hox genes control digit formation by tuning the wavelength of a Turing-type mechanism.",在 老鼠 中 发现 移 了 赫 克斯 基因 导致 数字 数量 增加 而 没有 增加 肢体 的 整体 大小 表明 赫 克斯 基因 通过 调 一种 图 灵 型 机制 的 波 长度 来 控制 数字 形成,在 老鼠 中 发现 移 了 赫 克斯 基因 导致 数字 数量 增加 而 没有 增加 肢体 的 整体 大小 表明 霍 克斯 基因 通过 调 Turing 型 机制 的 波 长度 来 控制 数字 形成,在 老鼠 中 发现 移除 了 赫 的 基因 导致 数字 数量 增加 而 没有 增加 肢体 的 整体 大小 表明 赫 的 基因 通过 调 一种 图 灵 型 机制 的 波 长度 来 控制 数字 的 形成
Alan Turing,Later papers were not available until Collected Works of A. M. Turing was published in 1992.,后来 的 论文 直到 1992 年 公布 了 收集 的 图 灵 工程,后来 的 论文 直到 1992 年 公布 了 收集 的 图 灵 工程,后来 的 论文 直到 1992 年 公布 之后 才能 得到 论文
Talmud,"Within Humanistic Judaism, Talmud is studied as a historical text, in order to discover how it can demonstrate practical relevance to living today.",在 人类 犹太 内部 被 研究 成 一个 历史 的 文字 来 发现 它 如何 显示 与 今天 生活 的 实际 关联,在 人类 犹太 内部 被 研究 成 一个 历史 文字 来 发现 它 如何 展示 与 今日 生活 的 实际 关联,在 人类 犹太 内部 被 研究 成 一个 历史 的 文字 来 发现 它 如何 能 证明 实际 的 意义 于 今天 的 生活
Traditional African religions,"One religious ceremony practiced in Gabon and Cameroon is the Okuyi, practiced by several Bantu ethnic groups.",在 加蓬 和 喀麦隆 举行 的 一个 宗教 仪式 是 由 一些 班图 民族 进行 的 Okuyi,在 加蓬 和 喀麦隆 举行 的 一个 宗教 仪式 是 由 几个 班图 民族 进行 的 奥 圭,在 加蓬 和 喀麦隆 举行 的 一个 宗教 仪式 是 由 一些 班图 民族 进行 的 奥 圭
Traditional African religions,"In this state, depending upon the region, drumming or instrumental rhythms played by respected musicians (each of which is unique to a given deity or ancestor), participants embody a deity or ancestor, energy or state of mind by performing distinct ritual movements or dances which further enhance their elevated consciousness.","在 这种 状态 中, 取决于 区域 的 区域, 受到 尊重 的 音乐 们 所 演奏 的 鼓 或 工具 的 节奏 ( 每个 音乐 都 是 给 的 神 或 祖先 所 独 有 的 ) 参与者 通过 进行 不同 的 仪式 运动 或 舞蹈 来 进一步 提升 他们 的 意识 来 体现 一个 神圣 的 或 祖先 的 能量 或 思想 状态","在 这个 州, 取决于 区域 的 区域, 由 受 尊重 的 音乐 人 所 发挥 的 鼓 或 工具 节奏 ( 每个 音乐 人 都 是 被 授予 的 神 或 祖先 所 独 有 的 ) 参与者 通过 进行 不同 的 仪式 运动 或 舞蹈 来 进一步 增强 他们 的 意识 体现 了 一种 神圣 的 或 祖先 的 能量 或 思想 状态","在 这种 状态 中, 取决于 区域 的 区域, 被 尊重 的 音乐 人 所 发挥 的 鼓 或 工具 的 节奏 ( 每个 音乐 都 是 给 的 神 或 祖先 所 独 有 的 ) 参与者 通过 进行 不同 的 仪式 运动 或 舞蹈 来 进一步 增强 他们 的 意识 来 体现 一个 神圣 的 或 祖先 的 能量 或 思想 状态"
Traditional African religions,"When this trance-like state is witnessed and understood, adherents are privy to a way of contemplating the pure or symbolic embodiment of a particular mindset or frame of reference.","当 这种 类似 的 国家 被 见证 和 理解 时, 信徒 也 被 了解 一种 方式 来 思考 一个 特定 的 思想 或 参照 框架 的 纯 或 象征 的 体现","当 这 类似 的 国家 被 见证 和 理解 时, 追随 者 也 具有 一种 思考 一种 方式 的 简单 或 象征性 的 体现 一种 特定 的 思想 或 参照 框架","当 这种 类似 的 国家 被 见证 和 理解 时, 追随 者 被 了解 一种 思考 一种 方式 的 简单 或 象征性 的 体现 一种 特定 的 思想 或 参照 框架"
Traditional African religions,This builds skills at separating the feelings elicited by this mindset from their situational manifestations in daily life.,这 建立 了 技能 将 这种 思想 所 激发 的 情感 与 他们 在 日常生活 中 的 情景 表现 分离,这 建立 了 技能 将 这种 思想 所 激发 的 情感 与 他们 在 日常生活 中 的 情景 表现 分离,这 培养 了 将 这种 思想 所 产生 的 情感 与 他们 在 日常生活 中 的 情景 表现 区分 的 技能
Traditional African religions,Such separation and subsequent contemplation of the nature and sources of pure energy or feelings serves to help participants manage and accept them when they arise in mundane contexts.,这种 分离 和 随后 对 纯 能源 或 情感 的 性质 和 来源 的 思考 有助于 参与者 在 常见 的 情况下 管理和 接受 它们,这种 分离 和 随后 对 纯 能源 或 情感 的 性质 和 来源 的 思考 有助于 参与者 在 常见 的 环境 中 管理和 接受 它们,这种 分离 和 随后 对 纯 能源 或 情感 的 性质 和 来源 的 思考 有助于 参与者 在 常见 的 情况下 管理和 接受 它们
Speech,"In linguistics, articulatory phonetics is the study of how the tongue, lips, jaw, vocal cords, and other speech organs are used to make sounds.","在 语言 上, 动 语 是 研究 舌 、 嘴 、 下 牙 、 声 带 和其他 语言 器官 如何 用于 制造 声音","在 语言 上, 脉 音 是 研究 舌 、 嘴 、 下 牙 、 声 带 和其他 语言 器官 如何 用于 制造 声音","在 语言 中, 动 语 是 研究 如何 使用 舌 、 嘴 、 下 牙 、 声 带 和其他 语言 器官 来 制造 声音"
Speech,Speech sounds are categorized by manner of articulation and place of articulation.,声音 按 表达 方式 和 表达 地点 分类,声音 按 表达 方式 和 表达 地点 分类,声音 按 表达 方式 和 表达 地点 分类
Speech,Place of articulation refers to where in the neck or mouth the airstream is constricted.,连接 的 地点 指 在 颈 或 口 中 空气 流 被 压缩 的 地方,表达 的 地点 指 在 颈 或 口 中 空气 流 被 压缩 的 地方,连接 的 地点 指 在 颈 或 口 中 空气 流 被 压缩 的 地点
Speech,"Manner of articulation refers to the manner in which the speech organs interact, such as how closely the air is restricted, what form of airstream is used (e.g.",表达 方式 指 语言 器官 互动 的 方式 例如 空气 被 限制 的 程度 以及 使用 的 空气 流 形式,"表达 方式 指 语言 器官 互动 的 方式, 如 空气 如何 受 限制, 使用 了 何种 形式 的 空气 ( 例如 空气 流 )","表达 方式 指 语言 器官 互动 的 方式 例如 空气 如何 受 限制, 使用 了 何种 形式 的 空气 流 ( 例如"
Speech,"pulmonic, implosive, ejectives, and clicks), whether or not the vocal cords are vibrating, and whether the nasal cavity is opened to the airstream.",脉 性 性 性 性 性 性 和 点击 的 性 性 性 的 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性,脉 性 性 性 性 性 性 和 点击 的 性 性 性 的 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性 性,"脉 性 性 性 性 性 和 点击 ) 无论 声 带 是否 在 振 动, 是否 向 空气 开放"
Speech,"The concept is primarily used for the production of consonants, but can be used for vowels in qualities such as voicing and nasalization.","这个 概念 主要 用于 制作 合成, 但 可以 用于 音 的 音, 如 发票 和 鼻 化",这个 概念 主要 用于 制作 合成 材料 但 可以 用于 音 和 鼻 音 等 品质 的 元,"这个 概念 主要 用于 制作 调, 但 可以 用于 音 和 鼻 音 等 品质 的 元"
Speech,"For any place of articulation, there may be several manners of articulation, and therefore several homorganic consonants.",对于 任何 的 表达 地 可能 有 几种 表达 方式 因此 有 几种 有机 的 声音,对于 任何 的 表达 地 可能 有 几种 表达 方式 因此 有 几种 神圣 的 声音,对于 任何 的 表达 地 可能 有 几种 的 表达 方式 因此 有 几种 神圣 的 声音
Speech,"Normal human speech is pulmonic, produced with pressure from the lungs, which creates phonation in the glottis in the larynx, which is then modified by the vocal tract and mouth into different vowels and consonants.",正常 的 人类 语言 是 肺 的 压力 产生 了 硫 酸 在 喉 的 凝 石 中 产生 了 硫 酸 并 被 声 道 和 口 改变 成 不同 的 元 和 调,正常 的 人类 语言 是 肺 的 压力 产生 了 硫 酸 的 声音 并 被 声音 和 口 改变 成 不同 的 元 和 调,"正常 的 人类 讲话 是 肺 压力 产生 的, 这 在 喉 中 的 glottis 中 产生 了 磷 音 并 被 声 道 和 口 改变 成 不同 的 元 和 音"
Speech,"However humans can pronounce words without the use of the lungs and glottis in alaryngeal speech, of which there are three types: esophageal speech, pharyngeal speech and buccal speech (better known as Donald Duck talk).",然而 人类 可以 在 犹太 语 中 不 使用 肺 和 glottis 的 语言 其中 有 三种 类型 的 语言 : 食 语 语言 、  error 语言 和 Buccal 语言 ( 更 称 唐纳德 Duck 语 ),然而 人类 可以 在 耶路撒冷 的 演讲 中 不 使用 肺 和 glottis 其中 有 三种 类型 的 演讲 : 食 语 演讲 、 法 利亚 演讲 和 Buccal 演讲 ( 更 称 Donald Duck 演讲 ),然而 人类 可以 在 犹太 语 中 不 使用 肺 和 glottis 的 语言 其中 有 三种 类型 的 语言 : 食 语 语言 、 harynge 语言 和 Buccal 语言 ( 更 称 Donald Duck 的 语言 )
Speech,"Speech production is a complex activity, and as a consequence errors are common, especially in children.","语音 制作 是 一项 复杂 的 活动, 结果 是 常见 的, 在 儿童 中 尤为 常见","语言 制作 是 一项 复杂 的 活动, 因此 特别 在 儿童 中 也 是 常见 的","语音 制作 是 一项 复杂 的 活动, 结果 是 常见 的, 在 儿童 中 尤为 常见"
