EN,FR
Orlando City SC plans to maintain ties with Louisville.,Malgré ce déménagement Orlando City SC prévoit de maintenir des liens avec Louisville.
"In France companies such as Schuepbach Energy GDF Suez Total and Devon Energy obtained three exploration permits in March 2010 (permits so-called ""Montelimar"" ""Nant"" and ""Villeneuve de Berg"") for a total area of 9672 km2 in the departments of Ardèche Drôme Lozère Hérault Gard and Vaucluse.",En France Schuepbach Energy GDF Suez Total et Devon Energy ont obtenu en mars 2010 trois permis d’exploration (les permis dits de « Montélimar » de « Nant » et de « Villeneuve de Berg » ) pour une superficie totale de 9 672 km2 sur les départements de l’Ardèche de la Drôme de la Lozère de l’Hérault du Gard et du Vaucluse.
The controversy on Hrafnkels saga remains unsettled.,Le débat relatif à la saga de Hrafnkell reste ouvert.
The Northern Sporades (Skiathos Skopelos and Alonissos) were Byzantine possessions that came under Venetian rule after the Fall of Constantinople in 1453.,Les Sporades septentrionales (Skiathos Skópelos et Alonissos) possessions byzantines passent sous domination vénitienne après la chute de Constantinople en 1453.
The oldest-known inscribed stone is from Shinobu and dates to 1664.,La plus ancienne pierre gravée connue provient du mont Shinobu et date de 1664.
2016 : Serie Sans Repères represented by A2Z Art Gallery Bali Indonésie.,2016 : Série Sans Repères représenté par A2Z Art Gallery Bali Indonésie .
The city slowly grew after World War II; by 1960 it had reached its 1880 boom-time population.,La ville a grandi lentement après la Seconde Guerre mondiale pour atteindre dans les années 1960 le niveau de population qu'elle avait vers 1880.
"The Landrecht (German:  ""customary law of the region"" plural: Landrechte) was the law applying within an individual state in the Holy Roman Empire during the Middle Ages and Early Modern times.","Le Landrecht (allemand:  ""droit coutumier de la région""pluriel: Landrechte) était la loi qui s’appliquait au sein du Saint Empire romain germanique au Moyen Âge et au début de l’époque moderne."
Sporadically he received orders from the Cipher Bureau; Captain Maksymilian Ciężki chief of the Bureau's German section (BS 4) had known him since his army years.,Sporadiquement il reçoit des commandes du Biuro Szyfrów; le capitaine Maksymilian Ciężki chef du BS-4 (Section allemande) connait Fokczyński depuis l'armée.
During the Sengoku period fearing the power of the monks of the Hongan-ji Oda Nobunaga tried to destroy it.,Au cours de la période Sengoku craignant la puissance des moines du Hongan-ji Oda Nobunaga essaye de le détruire.
In all this is an area no larger than 6000 square kilometers half of the extended Silicon Valley's geographical coverage.,Au total il s'agit d'une superficie ne dépassant pas 6 000 kilomètres carrés la moitié de celle de la Silicon Valley.
He also became the President of the Council of the Churches of Africa was a member of the World Council of Churches of Geneva and a director of the Christian Institute for Peace.,Il est également devenu le président du Conseil des Églises d'Afrique ainsi que membre du Conseil œcuménique des Églises de Genève et directeur de l'Institut chrétien pour la paix.
"In 1999 Jos Stam published the ""Stable Fluids"" method which exploited a semi-Lagrangian advection technique and implicit integration of viscosity to provide unconditionally stable behaviour.",En 1999 Jos Stam a publié une méthode nommée « fluides stables » qui exploitait une technique d'advection semi-lagrangienne et une intégration implicite de la viscosité pour fournir un comportement inconditionnellement stable.
The official exchange rate was 1 franc = 0.1645 ℛℳ.,Le taux de change était de 1 franc pour 01645 reichsmark.
Nothhelm oversaw the reorganisation of the Mercian dioceses which took place in 737.,Nothhelm supervise également la réorganisation des diocèses de Mercie en 737.
Prince Kuni Asaakira was one of his classmates.,Le prince Asaakira Kuni est l'un de ses camarades de classe.
It made its début at Rallye Monte Carlo 2009 with factory team Škoda Motorsport and drivers Jan Kopecký and Juho Hänninen.,Elle a réalisé ses débuts au Rallye Monte-Carlo 2009 avec comme pilotes Jan Kopecký et Juho Hänninen.
In option Y despite the fact that the number of black balls is uncertain the probability of selecting a winning ball is also 1 in 3.,Dans l'option Y malgré le fait que le nombre de boules noires soit incertain la probabilité de choisir une boule gagnante est également de 1 sur 3.
The degree d Schur polynomials in n variables are a linear basis for the space of homogeneous degree d symmetric polynomials in n variables.,Les polynômes de Schur de degré d en n variables forment une base de l'espace des polynômes symétriques homogènes de degré d en n variables.
"Zenshūyo (禅宗様 ""Zen style"") is a Japanese Buddhist architectural style derived from Chinese Song Dynasty architecture.",Le zenshūyo (禅宗様 lit. « style Zen »?) est un style d'architecture bouddhiste japonais dérivé de l'architecture de la dynastie Song chinoise.
In the months leading up to Yeates' death Tabak had used his computer to research escort agencies during business trips in the United Kingdom and United States and contacted several sex workers by phone.,Dans les mois précédents la mort de Joanna Yeates Vincent Tabak utilise son ordinateur pour communiquer avec des agences d'escorte féminines lorsqu'il voyage par affaires au Royaume-Uni et aux États-Unis et téléphone à des prostitués.
More recent major contributors to the genre include Ralph Vaughan Williams Granville Bantock Arnold Bax Peter Warlock Gustav Holst and Benjamin Britten.,Parmi les récents contributeurs importants de ce genre musical figurent Ralph Vaughan Williams Granville Bantock Arnold Bax Peter Warlock Gustav Holst et Benjamin Britten.
Albanian iso-polyphony is a traditional part of Albanian folk music and as such is included in UNESCO's intangible cultural heritage list.,L'Iso-polyphonie albanaise est une forme musicale traditionnelle de musique albanaise incluse par l'UNESCO sur la liste représentative du patrimoine culturel immatériel de l'humanité.
It has three schools.,Il y a trois écoles.
Five days later she spoke on Wall Street to an estimated 50000 people.,Cinq jours plus tard elle s'exprime à Wall Street devant une foule estimée à 50 000 personnes.
The island is visited annually by some 4000 tourists.,L'île est visitée chaque année par quelque 4 000 touristes.
His support for the Kansas–Nebraska Act and his determination to enforce the Fugitive Slave Act helped polarize the sections.,Son soutien à l'acte Kansas-Nebraska et sa détermination à appliquer le Fugitive Slave Act aggravèrent les divisions.
The HF120 engine’s components interact with greater efficiency by incorporating 3D aerodynamic design and its effusion-cooled combustor design emits few NOx CO and HC.,Les composants du HF120 interagissent avec une meilleure efficacité grâce à l'emploi de conception tridimensionnelle assistée par ordinateur et sa chambre de combustion refroidie par diffusion émet peu d'oxydes d'azote monoxydes de carbone et hydrocarbures imbrûlés.
The Japanese were consolidating their position in Burma.,Les Japonais consolident leurs positions en Birmanie.
Conclusions reached by three separate official commissions set up to investigate the issue unanimously found that the majority of the children were buried having died from diseases.,Les différentes commissions officielles israéliennes qui se sont penchées sur la question ont conclu que la grande majorité d'entre eux sont morts de maladie.
"The song was performed 20th (last) on the night following Belgium's Pas de Deux with ""Rendez-vous"".",Il s'agit de la vingtième et dernière chanson interprétée lors de la soirée après Pas de deux qui représentaient la Belgique avec Rendez-vous.
According to tradition the Apostle Paul wrote the letter while he was in prison in Rome (around AD 62).,Selon la tradition Paul de Tarse aurait écrit cette lettre alors qu'il se trouvait à Rome (vers 61-62).
In 1835 he met and befriended Taras Shevchenko.,En juillet 1835 il rencontre et se lie avec Taras Chevtchenko.
Edward kept a camel as a pet and as a young man took a lion with him on campaign to Scotland.,Édouard avait un chameau comme animal de compagnie et pendant sa jeunesse avait emmené un lion avec lui lors d'une campagne en Écosse.
Although it represents a limited activity today rail transportation was a particularly large market in years gone by: 442% of all the engines produced in the history of S.E.M.T. were destined for locomotives.,Aujourd’hui réduite l’activité ferroviaire a été importante à l’époque car les moteurs représentent 442 % du nombre de moteurs produits dans l’histoire de Pielstick.
In 1979 Gebhard (with Alan B. Johnson) concluded that none of Kinsey's original estimates were significantly affected by the perceived bias finding that 36.4% of men had engaged in both heterosexual and homosexual activities as opposed to Kinsey's 37%.,En 1979 Gebhard (avec Alan B. Johnson) a conclu qu'aucune des estimations initiales de Kinsey ont été significativement affectée par la partialité et de trouver que 36.4 % des hommes s'étaient engagés à la fois dans des activités hétérosexuelles et homosexuelles par opposition aux 37 % de Kinsey.
In 1998 the USAF's Lockheed U-2S fleet was fitted with a modified version of the F118.,En 1998 la flotte américaine de Lockheed U-2 est équipée d'une version modifiée du F118.
The priesthood of this cult was carried out exclusively by members of these two families as a sacrum gentilicium—the sacred duty of a particular gens.,Le sacerdoce de ce culte a été réalisé exclusivement par des membres de ces deux familles comme un gentilicium sacrum mais au bénéfice de l'ensemble des citoyens.
He later moved to the historic city center of Quimper in order to share his passion and make it known to the public.,Il s'installe au centre-ville historique de Quimper offrant ainsi l'accès au grand public pour partager sa passion et la faire connaître au plus grand nombre.
In April 2016 Hopkins was cast in the BBC Three Doctor Who spin-off Class as April MacLean.,"En avril 2016 Hopkins a été choisie pour le rôle de April MacLean dans le spin-off de Doctor Who ""Class""."
In Butina's indictment federal prosecutors said an unnamed American political operative later identified as Erickson had worked with Butina to arrange introductions to influential people inside the U.S. and to advance Russian interests.,Les autorités ont déclaré qu'un Américain dont le nom n'a pas été divulgué plus tard identifié comme étant Erickson a œuvré avec Boutina pour organiser des présentations avec des personnes influentes sur le sol des États-Unis dans le but de favoriser les intérêts russes.
Charles decides that they must bait the bear and kill it in order to survive.,Charles décide qu'ils doivent appâter l'ours et le tuer pour survivre.
Walcher and his men sought refuge in a nearby church but the Northumbrians set fire to it.,Walcher et ses hommes se réfugient dans une église proche à laquelle la population met le feu.
"Regarding Rosenbaum French New Wave director Jean-Luc Godard said: ""I think there is a very good film critic in the United States today a successor of James Agee and that is Jonathan Rosenbaum.",Le réalisateur Jean-Luc Godard a dit à son propos : « Je pense qu'il y a actuellement un très bon critique de cinéma aux États-Unis un successeur de James Agee il s'appelle Jonathan Rosenbaum.
This is a hierarchy problem very similar to that of the Higgs boson mass problem since the cosmological constant is also very sensitive to quantum corrections.,C'est un problème de hiérarchie très similaire à celui du problème de la masse du boson de Higgs dès lors que la constante cosmologique est aussi très sensible aux corrections quantiques.
This meant that equipment could be maintained modified and regularly updated by the company.,Cela permet à l'entreprise de maintenir de mettre à jour et de modifier l'équipement à son gré.
In two articles published in 2000 and 2001 Verner argues that contrary to what Manetho indicates Shepseskare must have reigned for a couple of months at the most a hypothesis already proposed by the French Egyptologist Nicolas Grimal in 1988.,Dans deux articles publiés en 2000 et 2001 Verner soutient que contrairement à ce qu'indique Manéthon Chepseskarê a dû régner pendant quelques mois au plus hypothèse déjà proposée par l'égyptologue français Nicolas Grimal en 1988.
This correspondence between gravitational mass and inertial mass is the equivalence principle.,En mécanique relativiste l'identité entre masse inerte et masse grave fait l'objet du principe d'équivalence.
These forces were recruited as mercenaries by the Japanese during the Russo-Japanese War of 1904-05.,Ces troupes sont recrutées comme mercenaires par les Japonais durant la guerre russo-japonaise de 1904-05.
In the 19th century a group of Spanish Jesuits began the publication of letters of Saint Ignatius of Loyola.,Au milieu du XIXe siècle un groupe de jésuites espagnols commence la publication de lettres de saint Ignace de Loyola.
For Ted it was the start of a career in television.,C’est le début d’une carrière en télévision.
So also are offices for several NGOs operating in the district such as Save the Children Concern Universal and the Red Cross.,On trouve aussi les bureaux de plusieurs ONG opérant dans le district comme Save the Children Concern Universal et la Croix-Rouge.
On July 7 2005 the European Parliament issued an official statement recommending the return of the territories in dispute which Russia immediately protested.,Le 7 juillet 2005 le Parlement européen émet une déclaration officielle recommandant la restitution des territoires en litige déclaration contre laquelle la Russie proteste immédiatement.
Diogo do Couto paid for the rest of his trip to Lisbon where Camões arrived in 1570.,Diogo do Couto lui paya le reste du voyage jusqu'à Lisbonne où Camões arriva en 1570.
Originally designated by number the regions acquired nicknames from major landmarks or topographical features within them.,À l'origine les régions sont désignées par leur numéro mais elles acquièrent progressivement des surnoms dérivés des principaux monuments ou éléments topographiques qu'elles contiennent.
For the 2009 main Series the team signed F3 frontrunners Sergio Pérez and Mortara.,Pour 2009 l'équipe a signé les pionniers de la Formule 3 Sergio Pérez et Edoardo Mortara.
Carter Harrison Jr. was the first mayor to have been born within city limits.,Carter Harrison Jr. est le premier des maires à être né à Chicago.
The Cream Legbar possesses in contrast to the Gold Legbar and the Silver Legbar a crest due to its Araucana blood.,La Cream Legbar possède à la différence de la Gold Legbar et de la Silver Legbar une crête à pois due à son sang Araucana.
The awnings which covered the platforms protected the passengers from the weather.,Les auvents qui couvraient les quais offraient une protection contre les intempéries.
He searches for his brother's heart for more than three years finding it at the beginning of the fourth year.,Il cherche le cœur de son frère pendant plus de trois ans le trouve au début de la quatrième année.
She was a strong believer in Utopian socialism.,Elle est une figure forte du socialisme utopique.
Carlton is home to some of Melbourne's most historically significant buildings such as Melbourne Trades Hall and the World Heritage Site of the Carlton Gardens the Royal Exhibition Building and the ruins of the old Carlton Brewery a collection of buildings constructed between 1864 and 1927 all listed on the Victorian Heritage Register.,Carlton abrite certains des plus importants bâtiments historiques de Melbourne tels que le site du patrimoine mondial des Carlton Gardens le Royal Exhibition Building et les ruines de l'ancienne Carlton Brewery un ensemble de bâtiments construits entre 1864 et 1927 tous les figurant sur le registre du patrimoine victorien.
Dr. Farzani who is married to a Russian woman wants to have their son circumcised.,Le docteur Farzani marié à une femme russe veut faire circoncire son fils.
The Montauban platform: this small platform triangular at its base and pentagonal in its upper part is the highest point of the rempart des Otages and is at the same time its northern limit.,La plate-forme du Montauban : cette petite plate-forme triangulaire à sa base et pentagonale à sa partie supérieure représente le point le plus élevé du rempart des Otages et en même temps sa limite nord.
Ni Hao Kai-lan introduces its viewers to the Mandarin Chinese language along with elements of Chinese culture and values and intergenerational families (e.g. Kai-lan and her relationship with Ye Ye).,Ni Hao Kai-Lan introduit à ses téléspectateurs la langue chinoise mandarin ainsi que des éléments de la culture chinoise le multiculturalisme (à travers la diversité des origines des amis de Kai-Lan) et les familles intergénérationnelles (par exemple Kai-Lan et ses relations avec Ye Ye le grand-père).
The average length of the route between Bondy and Montfermeil is estimated at slightly less than thirty minutes.,Le temps moyen de parcours total entre Bondy et Montfermeil est estimé à un petit peu moins de trente minutes.
He debuted in Plaza México on July 12 1966 with Gonzalo Iturbe and Leonardo Manzanos.,Présentation à Mexico : 12 juillet 1966 aux côtés de Gonzalo Iturbe et Leonardo Manzanos.
Krusty is a favorite character of several of the original writers many of whom related themselves to him and wanted to write the Krusty-focused episodes.,Krusty est le personnage préféré de plusieurs des scénaristes ainsi nombre d'entre eux écrivent des épisodes centrés sur Krusty en le reliant à eux-mêmes.
