,EN,FR,WA
10,The area was belonged to the Guayos tribe.,La région était habitée par la tribe des Guayos.,0-0 1-1 2-2 3-3 4-4 5-5 5-7 6-8 7-6 8-9
11,"He said that ""while the Lexicon in its current state is not a fair use of the Harry Potter works reference works that share the Lexicon's purpose of aiding readers of literature generally should be encouraged rather than stifled.""","Il a déclaré que ""alors que le Lexicon sous sa forme actuelle ne fait pas un usage raisonnable des œuvres Harry Potter les œuvres de référence qui partagent le but du Lexicon d'aider les lecteurs de littérature devraient de manière générale être encouragés plutôt que réprimés.""",0-0 0-1 1-2 2-3 3-4 4-5 4-6 5-7 6-8 7-9 8-10 9-12 10-11 11-14 12-13 12-15 13-16 14-18 15-17 16-19 18-21 19-22 20-20 21-26 22-24 23-27 24-28 25-31 26-32 27-29 28-30 29-33 30-34 30-35 31-36 32-37 33-38 34-42 35-39 36-43 37-44 38-45 39-46 40-47 41-48 42-49
12,After six months other possible candidates had also failed and Prospero Lambertini Archbishop of Bologna who had been a cardinal since 9 December 1726 was elected.,Après six mois d'élections infructueuses et l'élimination d'autres candidats potentiels Prospero Lambertini archevêque de Bologne qui était cardinal depuis le 9 décembre 1726 est élu pape.,0-0 1-1 2-2 3-10 4-4 5-11 9-6 10-13 11-14 12-15 13-16 14-17 15-18 17-19 18-19 19-20 19-28 20-21 21-22 21-23 22-24 23-25 24-26 25-27 26-29
13,It acted ineffectively against a military intervention.,Il agit faiblement contre une intervention militaire.,0-0 1-1 2-2 3-3 4-4 5-6 6-5 7-7
14,South Africa resumed official international cricket in 1991 with a short tour of India and participation in the 1992 Cricket World Cup in Australia and New Zealand.,L'Afrique du Sud fait son retour sur la scène internationale en 1991 lors d'une tournée en Inde puis lors de la Coupe du monde 1992 organisée en Australie et en Nouvelle-Zélande.,0-3 1-1 2-6 3-9 4-10 6-11 7-12 8-13 9-15 10-14 11-16 12-17 13-18 14-19 15-20 16-21 17-22 18-26 19-27 20-25 21-23 22-28 22-31 23-29 24-30 25-32 25-33 26-34 27-35
15,Connected to Grand Central Terminal by an underground concourse it was trimmed in marble and furnished with Art Deco lighting fixtures and leather sofas.,Relié à Grand Central Terminal par un souterrain il a été taillé dans le marbre et meublé avec des luminaires Art déco et des canapés en cuir.,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-7 9-8 10-9 10-10 11-11 12-12 12-13 13-14 14-15 15-16 16-17 17-20 18-21 20-19 20-24 21-22 22-24 22-26 23-24 24-27
16,It contains 5 buildings.,Elle compte cinq bâtiments.,0-0 1-1 2-2 3-3 4-4
17,The gang members decide to stand their ground and exact violent retribution by selecting a woman Maria (Maria Nazionale) as their next victim as her son has joined a clan of Secondigliano secessionists.,Le gang décide de se venger de la même manière en choisissant une femme Maria comme leur prochaine victime parce que son fils Simone a rejoint le clan des sécessionnistes.,0-0 1-1 2-1 3-2 4-3 5-4 7-9 11-5 12-10 13-11 14-12 15-13 16-14 18-23 21-15 22-16 23-17 24-18 25-19 26-21 27-22 28-24 29-25 30-26 31-27 32-28 34-29 35-30
18,Early photovoltaic systems output decreased as much as 10%/year but as of 2010 the median degradation rate was 0.5%/year with modules made after 2000 having a significantly lower degradation rate so that a system would lose only 12% of its output performance in 25 years.,La production des premiers systèmes photovoltaïques a diminué jusqu'à 10 % par an mais à partir de 2010 le taux de dégradation était de 05 % par an les modules fabriqués après 2000 ayant un taux de dégradation nettement inférieur de sorte qu'un système perdrait seulement 12 % de son rendement en 25 ans.,0-3 1-5 2-4 2-5 3-1 4-7 5-8 6-8 7-9 8-10 8-11 8-12 8-13 9-14 10-15 10-16 11-17 12-18 13-19 14-21 15-22 16-20 17-23 18-24 18-25 18-26 18-27 18-28 19-29 20-30 21-31 22-32 23-33 24-34 25-35 26-39 27-40 28-38 29-36 30-41 30-42 31-43 32-44 33-45 34-46 35-46 36-47 37-48 38-49 39-50 40-51 41-52 42-52 43-53 44-54 45-55 46-56
19,The Hannibal directive triggered instant aerial surveillance and airstrikes inside Lebanon to limit Hezbollah's ability to move the soldiers it had seized.,La directive Hannibal a déclenché la mise en place immédiate d'une surveillance et de frappes aériennes à l'intérieur du territoire libanais destinées à limiter la capacité du Hezbollah à déplacer les soldats qu'il avait capturés.,0-0 1-2 2-1 3-3 3-4 4-5 5-16 6-12 7-13 8-15 8-16 9-17 9-19 10-21 10-22 11-23 12-25 13-29 14-26 14-28 15-27 16-24 16-30 17-31 18-32 19-33 20-34 20-35 21-36 22-37 23-38
20,1800 - Member of Parliament and Judge Pierre-Amable de Bonne presents a draft bill to create the Royal Institute on February 7.,1800 - Le 7 février Amable De Bonne juge et membre de l’Assemblée législative présente un projet de loi visant à créer l’Institut royal.,0-0 1-1 2-10 3-11 4-13 5-9 6-8 9-5 10-6 11-7 12-15 13-16 14-19 15-17 16-20 16-21 17-22 18-23 19-25 20-24 21-2 22-4 23-3 24-26
21,He hoped that it would be the example for other NES games to follow when being ported to the Game Boy Color.,Il espérait de ce fait même que ce jeu donne l'exemple aux autres portages de jeux NES à venir sur Game Boy Color.,0-0 1-1 2-6 3-7 5-9 6-10 7-11 8-12 9-13 10-17 11-8 11-16 12-18 13-19 16-14 17-20 18-20 19-21 20-22 21-23 22-24
22,It has also been a partner of the Pôle France Voile in Brest since 2007 and works for the professional integration of former sportsmen and sportswomen.,Il est aussi partenaire du Pôle France Voile de Brest depuis 2007 et œuvre à l’insertion professionnelle des sportifs en reconversion.,0-0 1-1 2-2 3-1 4-3 5-3 6-4 7-4 8-5 9-6 10-7 11-8 12-9 13-10 14-11 15-12 16-13 17-14 18-15 19-16 19-17 20-16 21-18 22-21 23-19 24-20 25-19 26-22
23,Business was largely halted for 10 days.,Pratiquement toute l’activité est paralysée pendant dix jours.,0-3 1-4 2-0 3-5 4-6 5-7 6-8 7-9
24,In September 2018 it was announced that Ralph Fiennes and Harris Dickinson would star in the prequel.,En septembre 2018 Ralph Fiennes et Harris Dickinson rejoignent le projet..,0-0 1-1 2-2 7-3 8-4 9-5 10-6 11-7 12-8 13-8 15-9 16-10 17-11
25,After Bull Run Johnston assisted Beauregard and William Porcher Miles in the design and production of the Confederate Battle Flag.,Après Bull Run Johnston assiste Beauregard et William Porcher Miles dans le dessin et la production du drapeau de guerre confédéré.,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 15-16 16-16 17-20 18-19 19-17 20-21
26,Early versions of airborne radar were fitted to Blenheims but had limited minimum and maximum range.,Des versions primitives du radar aéroporté sont aussi montées sur des Bristol Blenheim mais elles ont des portées minimales et maximales limitées.,0-2 1-1 2-3 3-5 4-4 5-6 6-8 7-9 8-10 8-12 9-13 10-15 11-16 11-21 12-18 13-19 14-20 15-17 16-22
27,In 2008 a large group of protesters including members of Movement 1389 and Protest gathered in front of HCHRS's office shouting abusive threats many aimed specifically at Sonja Biserko leaving a large cardboard swastika outside the building.,En 2008 un grand groupe de manifestants comprenant des membres du Mouvement 1389 et de Protest se sont rassemblés devant le bureau du HCHRS en criant des menaces de nombreuses visant spécifiquement Sonja Biserko laissant un grand carton avec une croix gammée à l’extérieur du bâtiment.,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 8-9 9-10 9-14 10-11 11-12 12-13 13-15 14-18 15-18 16-19 17-20 18-23 19-22 20-21 21-25 22-26 22-27 23-27 24-29 25-30 26-31 27-31 28-32 29-33 30-34 31-35 32-36 33-37 33-40 34-37 34-41 35-42 35-44 36-45 37-46 38-47
28,Bodies hosted by territorial police forces National Domestic Extremism and Disorder Intelligence Unit – A police unit that is part of the Metropolitan Police Service Specialist Operations Directorate tasked with coordinating police response to domestic extremism across the United Kingdom.,Organismes hébergés par les forces de police territoriales National Domestic Extremism and Disorder Intelligence Unit (en) – Unité de police qui fait partie de la direction des opérations du Metropolitan Police Service  chargée de coordonner la réponse de la police à l’extrémisme national à travers le Royaume-Uni.,0-0 1-1 2-2 3-7 4-6 5-4 6-8 7-9 8-10 9-11 10-12 11-13 12-14 13-18 14-19 15-21 16-19 17-22 18-23 19-24 20-25 21-30 22-31 23-32 24-33 26-29 27-27 28-35 29-36 30-37 30-38 31-42 32-39 33-43 34-45 35-45 36-47 36-48 37-49 38-50 38-51 39-52 40-53
29,Taylor's influence is important when examining the ministry of Charles Grandison Finney the best known and most effective evangelist during the Second Great Awakening.,Taylor a été l'influence la plus importante sur Charles Grandison Finney l'un des évangélistes du second grand réveil les plus connus et les plus efficaces.,0-0 1-2 2-4 3-1 4-7 9-8 10-9 11-10 12-11 13-12 14-21 15-22 16-23 17-25 18-26 19-15 20-16 22-17 23-18 24-19 25-27
30,On 1 January 1559 the anonymous Beggars' Summons was posted on the doors of friaries threatening friars with eviction on the grounds that their property belonged to the genuine poor.,Janvier 1559 vit la publication par un auteur anonyme de la Sommation des mendiants qui menaçait d'expulser les moines sous le prétexte que leurs propriétés appartenaient aux véritables pauvres.,1-0 2-0 3-1 4-6 5-8 6-13 8-11 9-3 10-4 14-12 15-13 16-15 17-19 18-16 19-17 20-20 21-21 22-22 23-23 24-24 25-25 26-26 27-27 28-28 29-28 30-29 31-30
31,Starting 2001 he became the referent in prehistoric archaeology of the Oriental division of the German Archaeological Institute and from 2007 was corresponding member of the Institute.,En 2001 il est devenu le référent en archéologie préhistorique de l'Institut Archéologique allemand et en 2007 est devenu membre correspondant de l'Institut.,0-0 1-1 2-2 3-3 3-4 4-5 5-6 6-7 7-8 7-9 8-8 8-9 9-10 10-11 13-10 14-11 15-14 16-13 17-12 18-15 19-16 20-17 21-18 21-19 22-21 23-20 24-22 25-23 26-24 27-25
32,"For the 101 peasant characters in the film he created a registry consisting of 23 families and instructed the performers playing these roles to live and work as these ""families"" for the duration of shooting.",Pour les 101 personnages de paysans du film il créa un registre de 23 familles et demanda aux acteurs de vivre et travailler dans le cadre de ces « familles » pour toute la durée du tournage.,0-0 1-1 2-2 3-4 3-5 4-3 5-6 6-6 7-7 8-8 9-9 10-10 11-11 13-12 14-13 15-14 16-15 17-9 17-16 18-17 19-18 21-27 22-25 23-19 24-20 25-21 26-22 27-23 28-27 29-28 30-29 31-30 32-31 33-32 33-33 34-34 35-35 36-36 37-37
33,The Razor syntax is a template markup syntax based on the C# programming language that enables the programmer to use an HTML construction workflow.,La syntaxe Razor est composée de balises de moteur de template basée sur le langage de programmation C# permettant au développeur de générer un flux HTML.,0-0 1-2 2-1 3-3 4-4 5-10 6-9 7-1 8-11 9-12 10-13 11-17 12-18 13-16 14-14 16-19 17-20 18-21 19-22 20-23 21-24 22-26 24-25 25-27
34,At the time however there was some uncertainty over whether jet aircraft would be able to operate from the Royal Navy's aircraft carriers so it was decided to develop a naval version of the Spiteful to specification N.5/45 subsequently named Seafang.,Mais comme à cette époque il n'était pas certain que des appareils à réaction puissent opérer à partir des porte-avions de la Royal Navy il fut donc décidé de développer une version navalisée du Spiteful en accord avec le cahier des charges N.5/45.,0-2 1-3 2-4 3-0 4-5 5-7 6-8 7-9 9-10 10-14 11-12 12-15 13-15 14-16 15-17 16-16 17-18 18-22 19-23 20-24 21-19 22-20 23-20 24-27 25-25 26-26 27-28 28-29 29-30 30-31 31-33 32-32 33-33 34-34 35-35 36-36 37-40 37-42 38-43 41-35 42-44
35,The division fought in the Ardennes inflicting on the 106th US Infantry Division the worst defeat suffered by U.S. forces in the ETO when over 8000 US soldiers surrendered to the volksgrenadiers.,La division a combattu dans les Ardennes et malgré un personnel non-aguerri s'est montrée particulièrement efficiente : elle inflige à la 106ème division d'infanterie américaine des pertes conséquentes lorsque plus de 8 000 soldats américains (deux régiments) se sont rendus aux volksgrenadiers.,0-0 1-1 2-3 3-4 4-5 5-6 6-7 6-19 7-20 8-21 9-22 10-26 11-25 12-23 13-27 15-28 16-29 22-11 23-30 24-31 24-32 25-33 25-34 26-36 27-35 28-43 29-44 30-43 31-39 31-45 32-46
36,Naokatsu's lands had been taken from him in the interval by the Tokugawa shogunate and when his brother Naotaka assumed control of the area around Ōmi Province he was able to complete the castle by collecting stones from the former Sawayama Castle.,Dans l'intervalle les terres de Naokatsu lui ont été prises par le Shogunat Tokugawa et quand son frère Naotake prend le contrôle de la région autour de la province d'Ōmi il peut compléter le château en récupérant les pierres de l'ancien château de Sawayama.,0-6 1-3 1-5 2-4 3-8 4-9 5-10 7-7 8-0 9-1 10-2 11-11 12-12 13-14 14-13 15-15 16-16 17-17 18-18 19-19 20-20 20-21 21-22 22-23 22-27 23-24 23-28 24-25 25-26 26-31 27-29 28-32 29-33 30-34 32-34 33-35 34-36 35-37 36-38 37-40 38-41 39-42 40-43 41-46 42-44 42-45 43-47
37,At the start of the nineteenth century a wave of interest in ancient Egypt swept Europe giving rise to the discipline of Egyptology and drawing increasing numbers of visitors to the civilization's remains.,Mais au début du XIXe siècle une vague d'intérêt pour l'Égypte ancienne déferla sur l'Europe donnant naissance à la science de l'égyptologie et attirant un nombre croissant de visiteurs pour voir les restes de cette civilisation.,0-1 1-1 2-2 3-3 4-3 5-4 6-5 7-6 8-7 9-8 10-9 11-10 12-13 13-12 13-25 14-14 15-17 16-18 17-19 18-20 19-21 20-22 21-23 22-25 23-26 24-27 25-28 25-30 26-29 26-30 27-31 28-32 29-34 30-38 31-39 32-35 33-36 34-40
38,The latter D. louvelii is not found outside of the park.,La dernière D.louvelii n'existe plus à l'extérieur du parc.,0-0 1-1 2-2 3-2 4-4 5-3 7-8 8-7 9-9 10-10 11-11
39,In differential geometry the Einstein tensor (named after Albert Einstein; also known as the trace-reversed Ricci tensor) is used to express the curvature of a pseudo-Riemannian manifold.,En géométrie différentielle le tenseur d'Einstein ainsi dénommé en l'honneur d'Albert Einstein est utilisé pour exprimer la courbure d'une variété pseudo-riemannienne.,0-0 1-1 2-2 3-3 4-6 5-4 6-7 7-9 7-10 8-11 8-12 9-13 10-14 13-8 20-5 22-15 23-16 24-17 25-18 26-19 27-20 28-21 29-22 30-24 31-24 32-24 33-23 33-24 34-25
40,Othniel Charles Marsh discovered the first fossils of this bird in the 1870s.,Le grand spécialiste de dinosaures Othniel Charles Marsh identifia le premier les squelettes fossiles de ces oiseaux à la fin des années 1870.,0-0 0-5 1-6 2-7 3-8 4-9 4-11 5-10 6-12 6-13 7-13 7-14 8-15 9-16 10-17 11-20 12-21 12-22 13-23
41,The fold trends follow more or less the pyrenean direction or parallel to the thrust fronts but turn NE-SW near the Segre River (e.g. the Oliana Anticline).,Les axes de plis suivent en général la direction pyrénéenne ou la direction du front des chevauchements mais tournent au NE/SO près du Segre (par exemple l'anticlinal d'Oliana).,0-0 2-1 3-4 5-5 6-6 7-7 8-9 9-8 10-10 11-12 12-13 13-15 14-16 15-14 15-16 16-17 17-18 18-20 19-21 20-22 21-23 22-24 23-25 25-26 26-27 26-28 27-29 28-32 29-30 30-33 31-34
42,Paisley had been linked in press reports to local property developer Seymour Sweeney when in 2007 Sweeney admitted that Paisley had lobbied on his behalf regarding plans for a private visitors' centre at the Giant's Causeway the only UNESCO World Heritage Site in Northern Ireland.,En 2007 Sweeney a admis que Paisley avait fait du lobbying en sa faveur pour un projet de centre des visiteurs à la Chaussée des Géants classé Patrimoine Mondial de l'UNESCO dans le Nord de l'Irlande.,0-6 1-3 12-2 14-0 15-1 16-2 17-4 18-5 19-6 20-7 21-10 22-11 23-12 24-13 25-14 26-16 27-14 28-15 29-17 30-20 32-18 33-21 34-22 35-25 36-24 36-25 37-23 40-31 41-28 42-27 43-26 44-32 45-36 46-37 47-38
43,Although the Royal Netherlands Navy intervened—the torpedo boats Z5 and TM 51 attacked the Willemsbrug and later the destroyer HNLMS Van Galen sailed up the Nieuwe Waterweg to bombard the airfield at short range—this only resulted in the Van Galen foundering after being bombed.,Bien que la Marine royale néerlandaise soit intervenue d'abord avec les torpilleurs Z5 et TM 51 qui attaquèrent le Willemsburg et que le destroyer Hr.Ms. van Galen (nl) voguait sur la Nieuwe Waterweg pour bombarder l'aéroport à courte distance cela ne conduisit qu'au naufrage du Van Galen après avoir été bombardé.,0-0 0-1 1-2 2-4 3-5 4-3 4-5 5-7 7-10 7-11 8-12 9-12 10-13 11-14 12-15 13-16 14-18 15-19 16-20 17-21 18-22 19-23 20-24 21-25 21-27 21-28 22-29 23-30 23-33 24-34 25-35 26-36 27-37 28-38 29-39 30-40 31-41 32-41 32-42 33-43 34-44 35-45 36-46 37-46 38-47 39-48 40-50 41-52 42-53 43-54 44-51 44-56 45-55 46-57 47-58 48-59
44,At Delft University he formed a team with Bas Lansdorp that worked on developing kites that could retrieve energy from the sky.,C'est à l'Université de Delft qu'il a formé avec Bas Lansdorp une équipe chargée de développer des cerfs-volants capables de récupérer l'énergie du vent.,0-2 0-3 1-6 2-4 2-5 3-8 4-10 5-14 6-15 7-11 8-12 9-13 10-7 10-16 11-9 12-17 13-18 14-20 15-23 16-23 17-25 18-27 19-26 20-28 21-29 22-30
45,In 1861 Edward Lartet showed evidence that humans had coexisted with extinct quaternary animals whose bones had cut marks on them and subsequently the existence of cave paintings at Les Eyzies and La Madeleine.,En 1861 Edouard Lartet produisit les preuves de ce que l’Homme avait coexisté avec des animaux quaternaires aujourd’hui éteints dont les ossements trouvés présentent des entailles et révéla ensuite l’existence de peintures dans les cavernes des Eyzies et de la Madeleine.,0-0 1-1 2-2 3-3 4-4 5-6 6-9 7-11 8-12 9-13 10-14 11-15 12-17 13-16 14-20 15-22 16-24 18-26 21-27 22-29 23-30 24-31 25-32 26-36 27-33 27-36 28-34 29-37 30-38 31-39 32-40 32-41 33-42 34-43
46,As of August 8 transported by truck into the region Verdun; work.,À partir du 8 août transport par camions dans la région de Verdun ; travaux.,0-0 0-1 1-2 2-4 3-3 4-5 5-6 6-7 7-8 8-9 9-10 9-11 10-12 11-13 12-14 13-15
47,Suchet attacked the Spanish army in the Battle of Alcañiz on 23 May 1809.,Prenant l'offensive Suchet attaque l'armée espagnole lors de la bataille d'Alcañiz le 23 mai 1809.,0-3 1-4 2-5 3-7 4-6 5-8 6-10 7-11 8-12 9-13 10-14 11-15 12-16 13-17 14-18
48,For example the 1888 stone barracks contains a museum with artifacts from different time periods in the fort's history and visitors can tour the reconstructed trading post and an interpretive archaeological site.,Par exemple les baraquements en pierres de 1888 contiennent un musée avec des objets anciens des différentes périodes de l'histoire du fort et les visiteurs peuvent voir le poste de traite reconstitué et un site archéologique d'interprétation.,0-0 1-1 2-2 2-6 3-7 4-4 4-5 5-3 6-8 7-9 8-10 9-11 10-13 11-15 12-16 14-17 15-18 16-21 17-22 18-19 19-20 20-23 21-24 21-25 22-26 23-27 24-28 25-32 26-31 27-29 28-33 29-34 30-38 31-36 32-35 33-39
49,The Xplorair is a project of compact VTOL aircraft without rotating airfoil from aerospace engineer Michel Aguilar funded by the French Armed Forces procurement agency DGA and supported by various European aeronautics firms such as Dassault Systèmes EADS Innovation Works MBDA Altran Technologies Sogeti Turbomeca COMAT Aerospace and the Institut Pprime.,L'Xplorair est un projet d'aéronef à décollage et atterrissage verticaux sans voilure tournante de l'ingénieur aéronautique Michel Aguilar financé par la DGA et la DGCIS et soutenu par de multiples partenaires français du secteur aéronautique et spatial tels que Dassault Systèmes EADS Innovation Works MBDA Altran Technologies Sogeti Turbomeca COMAT Aerospace et l'Institut Pprime.,0-0 1-1 2-2 3-3 4-4 5-5 7-11 8-6 9-12 10-13 11-8 11-13 12-15 13-18 14-18 15-19 16-20 17-21 18-22 19-23 20-17 24-26 25-24 25-27 26-28 27-29 28-30 29-31 29-32 30-34 31-37 32-33 33-40 34-41 35-42 36-43 37-44 38-45 39-46 40-47 41-48 42-49 43-50 44-51 45-52 46-53 47-54 48-55 49-56 50-57 51-58
50,Christophe Pignol (born in 1969) former professional footballer twice champion of France (1995 2000) founder of the Christophe Pignol association to fight against leukemia.,Christophe Pignol (né en 1969) ancien footballeur professionnel double champion de France (1995 2000) fondateur de l'association Christophe Pignol visant à lutter contre la leucémie.,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-9 9-8 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-22 22-23 23-21 24-24 25-26 26-27 27-29 28-30
51,On 2 February 2017 Ewa Dziedzic Mariella Muller and Michaela Tulipan officially registered the NGO located in Vienna and chaired by Silvia Casalino and Mariella Müller.,Le 2 février 2017 Ewa Dziedzic Mariella Muller et Michaela Tulipan enregistrent officiellement l'ONG basée à Vienne et présidée par Silvia Casalino et Mariella Müller.,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-12 12-11 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-22 23-23 24-24 25-25 26-26
52,They performed only one concert that was open to the public and did so wearing masks.,Ils n'ont fait qu'un seul concert ouvert au public et portaient ce jour-là des masques.,0-0 1-3 2-6 3-5 4-7 7-8 8-9 9-9 10-10 11-11 12-12 14-16 15-17 16-18
53,"In 1916 Sazonova staged an opulent production of The Forces of Love in Magic at the cabaret ""Comedian’s Halt"" in Saint Petersburg.",En 1916 Sazonova met en scène une production opulente de The Forces of Love in Magic au cabaret Comedian's Halt de Saint-Pétersbourg.,0-0 1-1 2-2 3-3 3-5 4-6 5-8 6-7 7-9 8-10 9-11 10-12 11-13 12-14 13-15 14-16 16-17 18-18 19-18 19-19 20-20 21-20 22-21 23-22 24-22 25-23
54,There are nevertheless Orthodox authorities who recognize the efficacy of sex reassignment surgery (SRS) in changing halachic sex designation.,Néanmoins certaines autorités orthodoxes reconnaissent l'efficacité de la chirurgie de réassignation sexuelle pour changer la désignation du sexe halakhique.,0-1 2-0 3-3 4-2 5-4 6-4 7-5 8-6 9-7 10-12 11-11 11-16 12-9 13-8 16-13 17-14 18-19 19-18 20-16 21-20
55,However CB Mass member Curbin allegedly embezzled Epik High and TBNY's funds for their first studio album effectively causing the disbandment of CB Mass (and the creation of Dynamic Duo without Curbin).,Cependant Curbin de CB Mass a allègrement détourné les fonds qu'Epik High et TBNY pour leur premier album studio causant la séparation de CB Mass (et la création de Dynamic Duo sans Curbin).,0-0 1-3 2-4 3-2 4-1 5-5 6-7 7-11 8-12 9-13 10-14 11-8 11-10 12-9 13-15 14-16 15-17 16-19 17-18 18-20 19-20 20-21 21-22 22-23 23-24 24-25 25-26 26-27 27-28 28-29 29-30 30-31 31-32 32-33 33-34 34-35 35-36
56,Orlando City SC plans to maintain ties with Louisville.,Malgré ce déménagement Orlando City SC prévoit de maintenir des liens avec Louisville.,0-3 1-4 2-5 3-6 4-7 5-8 6-10 7-11 8-12 9-13
57,"In France companies such as Schuepbach Energy GDF Suez Total and Devon Energy obtained three exploration permits in March 2010 (permits so-called ""Montelimar"" ""Nant"" and ""Villeneuve de Berg"") for a total area of 9672 km2 in the departments of Ardèche Drôme Lozère Hérault Gard and Vaucluse.",En France Schuepbach Energy GDF Suez Total et Devon Energy ont obtenu en mars 2010 trois permis d’exploration (les permis dits de « Montélimar » de « Nant » et de « Villeneuve de Berg » ) pour une superficie totale de 9 672 km2 sur les départements de l’Ardèche de la Drôme de la Lozère de l’Hérault du Gard et du Vaucluse.,0-0 1-1 2-10 5-2 6-3 7-4 8-5 9-6 10-7 11-8 12-9 13-11 14-15 15-18 16-16 16-17 17-12 18-13 19-14 20-19 21-20 21-21 24-22 25-24 26-25 27-26 28-28 29-29 30-30 31-31 32-33 33-34 34-35 35-36 36-37 37-38 38-39 39-40 40-42 41-41 42-43 43-44 43-45 44-46 45-47 46-48 47-49 48-50 48-51 49-52 50-53 50-55 51-58 52-61 52-62 53-63 54-64 54-65 55-66 56-67
