article,sentences,initial_model,ft_no_anno,ft_wa_trg,ft_pos
Alan Turing,"If A and B then diffused through the container at different rates, then you could have some regions where A dominated and some where B did.","Si A et B ont ensuite diffusé à travers le conteneur à des vitesses différentes, alors vous pourriez avoir certaines régions où A a dominé et certaines où B l'a fait.","Si A et B se diffusent alors à travers le conteneur à des vitesses différentes, alors vous pouvez avoir certaines régions où A domine et d'autres où B fait.","Si A et B ont ensuite diffusé à travers le conteneur à des vitesses différentes, alors vous pourriez avoir certaines régions où A a dominé et certaines où B l'a fait.","Si A et B ont ensuite diffusé à travers le conteneur à des vitesses différentes, alors vous pourriez avoir certaines régions où A a dominé et certaines où B l'a fait............................................................................................"
Alan Turing,"To calculate the extent of this, Turing would have needed a powerful computer, but these were not so freely available in 1951, so he had to use linear approximations to solve the equations by hand.","Pour en calculer l'ampleur, Turing aurait eu besoin d'un ordinateur puissant, mais ceux-ci n'étaient pas si librement disponibles en 1951, donc il a dû utiliser des approximations linéaires pour résoudre les équations à la main.","Pour calculer l'étendue de cela, Turing aurait eu besoin d'un ordinateur puissant, mais ceux-ci n'étaient pas si librement disponibles en 1951, il a donc dû utiliser des approximations linéaires pour résoudre les équations à la main.","Pour calculer l'étendue de cela, Turing aurait eu besoin d'un ordinateur puissant, mais ceux-ci n'étaient pas si librement disponibles en 1951, il a donc dû utiliser des approximations linéaires pour résoudre les équations à la main.","Pour calculer l'étendue de cela, Turing aurait eu besoin d'un ordinateur puissant, mais ceux-ci n'étaient pas si librement disponibles en 1951, il a donc dû utiliser des approximations linéaires pour résoudre les équations à la main........................................................................"
Alan Turing,"These calculations gave the right qualitative results, and produced, for example, a uniform mixture that oddly enough had regularly spaced fixed red spots.","Ces calculs ont donné les bons résultats qualitatifs et ont produit, par exemple, un mélange uniforme qui, bizarrement, avait régulièrement espacé des taches rouges fixes.",Ces calculs ont donné les bons résultats qualitatifs et ont produit par exemple un mélange uniforme qui a été assez étrangement espacé régulièrement des taches rouges fixes.,Ces calculs donnent les bons résultats qualitatifs et produisent par exemple un mélange uniforme qui est étrangement assez espacé régulièrement des taches rouges fixes.,"Ces calculs ont donné les bons résultats qualitatifs et ont produit, par exemple, un mélange uniforme qui a été assez étrangement espacé régulièrement des taches rouges fixes............................................................................................."
Alan Turing,"The Russian biochemist Boris Belousov had performed experiments with similar results, but could not get his papers published because of the contemporary prejudice that any such thing violated the second law of thermodynamics.","Le biochimiste russe Boris Belousov avait réalisé des expériences avec des résultats similaires, mais n'a pas pu faire publier ses articles à cause du préjugé contemporain selon lequel une telle chose violait la deuxième loi de la thermodynamique.",Le biochimiste russe Boris Belousov avait réalisé des expériences avec des résultats similaires mais ne pouvait pas faire publier ses articles à cause du préjugé contemporain selon lequel une telle chose violait la deuxième loi de la thermodynamique.,Le biochimiste russe Boris Belousov avait réalisé des expériences avec des résultats similaires mais ne pouvait pas faire publier ses articles à cause du préjugé contemporain selon lequel une telle chose violait la deuxième loi de la thermodynamique.,Le biochimiste russe Boris Belousov avait réalisé des expériences avec des résultats similaires mais ne pouvait pas faire publier ses articles à cause du préjugé contemporain selon lequel une telle chose violait la deuxième loi de la thermodynamique.
Alan Turing,Belousov was not aware of Turing's paper in the Philosophical Transactions of the Royal Society.,Belousov n'était pas au courant du papier de Turing dans les Transactions Philosophiques de la Société Royale.,Belousov n'était pas au courant du journal de Turing dans les Transactions Philosophiques de la Royal Society.,Belousov n'était pas au courant du journal de Turing dans les Transactions Philosophiques de la Royal Society.,Belousov n'était pas au courant du journal de Turing dans les Transactions Philosophiques de la Royal Society (en anglais seulement)...............................................................................................
Alan Turing,"Although published before the structure and role of DNA was understood, Turing's work on morphogenesis remains relevant today and is considered a seminal piece of work in mathematical biology.","Bien que publié avant que la structure et le rôle de l'ADN ait été compris, le travail de Turing sur la morphogenèse reste pertinent aujourd'hui et est considéré comme un travail séminal en biologie mathématique.","Bien que publié avant que la structure et le rôle de l'ADN n'aient été compris, les travaux de Turing sur la morphogenèse restent pertinents aujourd'hui et sont considérés comme un travail séminal en biologie mathématique..............................................................................","Bien que publié avant que la structure et le rôle de l'ADN aient été compris, le travail de Turing sur la morphogenèse reste pertinent aujourd'hui et est considéré comme un travail séminal en biologie mathématique.","Bien que publié avant que la structure et le rôle de l'ADN n'aient été compris, le travail de Turing sur la morphogenèse reste pertinent aujourd'hui et est considéré comme un travail séminal en biologie mathématique.............................................................................."
Alan Turing,"One of the early applications of Turing's paper was the work by James Murray explaining spots and stripes on the fur of cats, large and small.","L'une des premières applications du papier de Turing a été le travail de James Murray expliquant les taches et les rayures sur la fourrure des chats, grands et petits.","L'une des premières applications du papier de Turing est le travail de James Murray expliquant les taches et les rayures sur la fourrure des chats, grands et petits.","L'une des premières applications du papier de Turing fut le travail de James Murray expliquant les taches et les rayures sur la fourrure des chats, grands et petits.","L'une des premières applications du papier de Turing est le travail de James Murray expliquant les taches et les rayures sur la fourrure des chats, grands et petits."
Alan Turing,"Further research in the area suggests that Turing's work can partially explain the growth of ""feathers, hair follicles, the branching pattern of lungs, and even the left-right asymmetry that puts the heart on the left side of the chest.""","D'autres recherches dans le domaine suggèrent que le travail de Turing peut expliquer en partie la croissance des « plumes, des follicules pileux, le modèle de ramification des poumons, et même l'asymétrie gauche-droite qui place le cœur sur le côté gauche de la poitrine ».","D'autres recherches dans ce domaine suggèrent que les travaux de Turing peuvent expliquer en partie la croissance des « plumes, des follicules pileux, le modèle de ramification des poumons et même l'asymétrie gauche-droite qui place le cœur sur le côté gauche de la poitrine ».","D'autres recherches dans ce domaine suggèrent que les travaux de Turing peuvent expliquer en partie la croissance des « plumes, des follicules pileux, le modèle de ramification des poumons et même l'asymétrie gauche-droite qui place le cœur sur le côté gauche de la poitrine ».","D'autres recherches dans ce domaine suggèrent que les travaux de Turing peuvent expliquer en partie la croissance des « plumes, des follicules pileux, le modèle de ramification des poumons et même l'asymétrie gauche-droite qui place le cœur sur le côté gauche de la poitrine »."
Alan Turing,"In 2012, Sheth, et al.","En 2012, Sheth et al.","En 2012, Sheth et al.","En 2012, Sheth et al.","En 2012, Sheth et al."
Alan Turing,"found that in mice, removal of Hox genes causes an increase in the number of digits without an increase in the overall size of the limb, suggesting that Hox genes control digit formation by tuning the wavelength of a Turing-type mechanism.","Chez la souris, l'élimination des gènes Hox entraîne une augmentation du nombre de chiffres sans augmentation de la taille globale du membre, ce qui suggère que les gènes Hox contrôlent la formation de chiffres en harmonisant la longueur d'onde d'un mécanisme de type Turing.","Chez la souris, l'élimination des gènes Hox provoque une augmentation du nombre de chiffres sans augmentation de la taille globale du membre, ce qui suggère que les gènes Hox contrôlent la formation de chiffres en harmonisant la longueur d'onde d'un mécanisme de type Turing.","Chez la souris, l'élimination des gènes Hox provoque une augmentation du nombre de chiffres sans augmentation de la taille globale du membre, ce qui suggère que les gènes Hox contrôlent la formation de chiffres en ajustant la longueur d'onde d'un mécanisme de type Turing.","Chez la souris, l'élimination des gènes Hox provoque une augmentation du nombre de chiffres sans augmentation de la taille globale du membre, ce qui suggère que les gènes Hox contrôlent la formation de chiffres en réglant la longueur d'onde d'un mécanisme de type Turing."
Alan Turing,Later papers were not available until Collected Works of A. M. Turing was published in 1992.,"Par la suite, les documents n'ont pas été disponibles avant la publication de Collected Works of A. M. Turing en 1992.",Des articles plus tard n'ont pas été disponibles avant que Collected Works of A. M. Turing n'ait été publié en 1992.,Plus tard les articles n'ont pas été disponibles avant que Collected Works of A. M. Turing n'ait été publié en 1992.,Plus tard les articles n'ont pas été disponibles avant que Collected Works of A. M. Turing n'ait été publié en 1992.
Talmud,"Within Humanistic Judaism, Talmud is studied as a historical text, in order to discover how it can demonstrate practical relevance to living today.","Dans le judaïsme humaniste, Talmud est étudié comme un texte historique, afin de découvrir comment il peut démontrer sa pertinence pratique pour vivre aujourd'hui.","Au sein du judaïsme humaniste, Talmud est étudié comme un texte historique afin de découvrir comment il peut démontrer sa pertinence pratique pour la vie d'aujourd'hui............................................................................................",Au sein du judaïsme humaniste le Talmud est étudié comme un texte historique afin de découvrir comment il peut démontrer sa pertinence pratique pour la vie d'aujourd'hui............................................................................................,"Au sein du judaïsme humaniste, Talmud est étudié comme un texte historique afin de découvrir comment il peut démontrer sa pertinence pratique pour la vie d'aujourd'hui............................................................................................"
Traditional African religions,"One religious ceremony practiced in Gabon and Cameroon is the Okuyi, practiced by several Bantu ethnic groups.","Une cérémonie religieuse pratiquée au Gabon et au Cameroun est celle des Okuyi, pratiquée par plusieurs groupes ethniques bantous.","Une cérémonie religieuse pratiquée au Gabon et au Cameroun est l'Okuyi, pratiquée par plusieurs groupes ethniques bantous.",Une cérémonie religieuse pratiquée au Gabon et au Cameroun est l'Okuyi pratiqué par plusieurs groupes ethniques bantous.,"Une cérémonie religieuse pratiquée au Gabon et au Cameroun est l'Okuyi, pratiquée par plusieurs groupes ethniques bantous....................................................................................................."
Traditional African religions,"In this state, depending upon the region, drumming or instrumental rhythms played by respected musicians (each of which is unique to a given deity or ancestor), participants embody a deity or ancestor, energy or state of mind by performing distinct ritual movements or dances which further enhance their elevated consciousness.","Dans cet état, selon la région, des rythmes de tambours ou instrumentaux joués par des musiciens respectés (chacun étant unique à une divinité ou à un ancêtre donné), les participants incarnent une divinité ou un ancêtre, une énergie ou un état d'esprit en effectuant des mouvements rituels ou des danses distincts qui renforcent encore leur conscience élevée.","Dans cet état, selon la région des rythmes de tambours ou instrumentaux joués par des musiciens respectés (chacun étant unique à une divinité ou un ancêtre donné), les participants incarnent une divinité ou un ancêtre, une énergie ou un état d'esprit en effectuant des mouvements rituels distincts ou des danses qui renforcent encore leur conscience élevée.","Dans cet état, selon la région, les rythmes de tambour ou instrumentaux joués par des musiciens respectés (chacun étant unique à une divinité ou un ancêtre donné), les participants incarnent une divinité ou un ancêtre, une énergie ou un état d'esprit en effectuant des mouvements rituels distincts ou des danses qui renforcent encore leur conscience élevée.","Dans cet état, selon la région, les rythmes de tambour ou instrumentaux joués par des musiciens respectés (chacun étant unique à une divinité ou à un ancêtre donné), les participants incarnent une divinité ou un ancêtre, une énergie ou un état d'esprit en effectuant des mouvements rituels distincts ou des danses qui renforcent encore leur conscience élevée."
Traditional African religions,"When this trance-like state is witnessed and understood, adherents are privy to a way of contemplating the pure or symbolic embodiment of a particular mindset or frame of reference.","Lorsque cet état semblable à la transe est vu et compris, les adhérents sont mis au courant d'une façon de contempler l'incarnation pure ou symbolique d'un état d'esprit ou d'un cadre de référence particulier.","Quand cet état de transe est vu et compris, les adhérents sont en mesure de contempler l'incarnation pure ou symbolique d'un état d'esprit particulier ou d'un cadre de référence......................................................................................","Lorsque cet état de transe est vu et compris, les adhérents sont mis au courant d'une façon de contempler l'incarnation pure ou symbolique d'un état d'esprit particulier ou d'un cadre de référence particulier................................................................................","Lorsque cet état de transe est vu et compris, les adhérents ont accès à une façon de contempler l'incarnation pure ou symbolique d'un état d'esprit ou d'un cadre de référence particulier...................................................................................."
Traditional African religions,This builds skills at separating the feelings elicited by this mindset from their situational manifestations in daily life.,Cela renforce les compétences pour séparer les sentiments suscités par cet état d'esprit de leurs manifestations situationnelles dans la vie quotidienne.,Cela crée des compétences pour séparer les sentiments suscités par cet état d'esprit de leurs manifestations situationnelles dans la vie de tous les jours..................................................................................................,Cela crée des compétences pour séparer les sentiments suscités par cet état d'esprit de leurs manifestations situationnelles dans la vie de tous les jours..................................................................................................,Cela crée des compétences pour séparer les sentiments suscités par cet état d'esprit de leurs manifestations situationnelles dans la vie de tous les jours..................................................................................................
Traditional African religions,Such separation and subsequent contemplation of the nature and sources of pure energy or feelings serves to help participants manage and accept them when they arise in mundane contexts.,Une telle séparation et la contemplation subséquente de la nature et des sources d'énergie ou de sentiments purs aident les participants à les gérer et à les accepter lorsqu'ils surviennent dans des contextes banals.,Une telle séparation et la contemplation subséquente de la nature et des sources d'énergie ou de sentiments purs aident les participants à les gérer et à les accepter lorsqu'ils apparaissent dans des contextes mondains.,Une telle séparation et la contemplation subséquente de la nature et des sources d'énergie pure ou de sentiments aide les participants à les gérer et à les accepter lorsqu'ils apparaissent dans des contextes banals.,Une telle séparation et la contemplation ultérieure de la nature et des sources d'énergie pure ou de sentiments aide les participants à les gérer et à les accepter lorsqu'ils se présentent dans des contextes mondains...................................................................................
Speech,"In linguistics, articulatory phonetics is the study of how the tongue, lips, jaw, vocal cords, and other speech organs are used to make sounds.","En linguistique, la phonétique articulaire est l'étude de la façon dont la langue, les lèvres, la mâchoire, les cordes vocales et d'autres organes de la parole sont utilisés pour faire des sons.","En linguistique, la phonétique articulaire est l'étude de la façon dont la langue, les lèvres, la mâchoire, les cordes vocales et d'autres organes de parole sont utilisés pour faire des sons.","En linguistique, la phonétique articulaire est l'étude de la façon dont la langue, les lèvres, la mâchoire, les cordes vocales et d'autres organes de parole sont utilisés pour faire des sons.","En linguistique, la phonétique articulaire est l'étude de la façon dont la langue, les lèvres, la mâchoire, les cordes vocales et d'autres organes de la parole sont utilisés pour faire des sons................................................................................"
Speech,Speech sounds are categorized by manner of articulation and place of articulation.,Les sons de la parole sont classés par mode d'articulation et lieu d'articulation.,Les sons de la parole sont classés par mode d'articulation et lieu d'articulation.,Les sons de la parole sont classés par mode d'articulation et lieu d'articulation.,Les sons de la parole sont classés par mode d'articulation et lieu d'articulation.
Speech,Place of articulation refers to where in the neck or mouth the airstream is constricted.,"Le lieu d'articulation désigne l'endroit où, dans le cou ou la bouche, le courant d'air est restreint.",Le lieu d'articulation désigne l'endroit où dans le cou ou la bouche le courant d'air est restreint.,Le lieu d'articulation désigne l'endroit où dans le cou ou la bouche le courant d'air est constrictionné....................................................................................................,Le lieu d'articulation désigne l'endroit où dans le cou ou la bouche le courant d'air est constrictionné....................................................................................................
Speech,"Manner of articulation refers to the manner in which the speech organs interact, such as how closely the air is restricted, what form of airstream is used (e.g.","Le mode d'articulation désigne la façon dont les organes de la parole interagissent, comme la façon dont l'air est restreint, quelle forme de courant d'air est utilisée (p. ex.","Le mode d'articulation désigne la façon dont les organes de parole interagissent, comme la façon dont l'air est restreint et quelle forme de courant d'air est utilisée (p. ex.","Le mode d'articulation désigne la manière dont les organes de parole interagissent, comme la manière dont l'air est restreint et quelle forme de courant d'air est utilisée (p. ex.","Le mode d'articulation désigne la manière dont les organes de parole interagissent, comme la manière dont l'air est restreint et quelle forme de courant d'air est utilisée (p. ex."
Speech,"pulmonic, implosive, ejectives, and clicks), whether or not the vocal cords are vibrating, and whether the nasal cavity is opened to the airstream.","pulmonique, implosif, éjectifs et clics), que les cordes vocales vibrent ou non, et que la cavité nasale soit ouverte au courant d'air.","pulmonique, implosif, éjectifs et clics), que les cordes vocales vibrent ou non et que la cavité nasale soit ouverte au courant d'air.","pulmonique, implosif, éjectifs et clics), que les cordes vocales vibrent ou non et que la cavité nasale soit ouverte au courant d'air.","pulmonique, implosif, éjectifs et clics), que les cordes vocales vibrent ou non et que la cavité nasale soit ouverte au courant d'air......................................................................................"
Speech,"The concept is primarily used for the production of consonants, but can be used for vowels in qualities such as voicing and nasalization.","Le concept est principalement utilisé pour la production de consonnes, mais peut être utilisé pour les voyelles dans des qualités telles que la voix et la nasalisation.",Le concept est principalement utilisé pour la production de consonnes mais peut être utilisé pour les voyelles dans des qualités telles que la vocation et la nasalisation.,Le concept est principalement utilisé pour la production de consonnes mais peut être utilisé pour les voyelles dans des qualités telles que la vocation et la nasalisation.,Le concept est principalement utilisé pour la production de consonnes mais peut être utilisé pour les voyelles dans des qualités telles que la vocation et la nasalisation.
Speech,"For any place of articulation, there may be several manners of articulation, and therefore several homorganic consonants.","Pour n'importe quel lieu d'articulation, il peut y avoir plusieurs manières d'articulation, et donc plusieurs consonnes homorganiques.",Pour n'importe quel lieu d'articulation il peut y avoir plusieurs manières d'articulation et donc plusieurs consonnes homorganiques.,Pour n'importe quel lieu d'articulation il peut y avoir plusieurs manières d'articulation et donc plusieurs consonnes homorganiques.,Pour n'importe quel lieu d'articulation il peut y avoir plusieurs manières d'articuler et donc plusieurs consonnes homorganiques................................................................................................
Speech,"Normal human speech is pulmonic, produced with pressure from the lungs, which creates phonation in the glottis in the larynx, which is then modified by the vocal tract and mouth into different vowels and consonants.","La parole humaine normale est pulmonique, produite avec la pression des poumons, qui crée la phonation dans le glattis dans le larynx, qui est ensuite modifié par le tractus vocal et la bouche en différentes voyelles et consonnes.","La parole humaine normale est pulmonique, produite avec la pression des poumons qui crée la phonation dans les glattis dans le larynx qui est ensuite modifiée par le chant et la bouche en différentes voyelles et consonnes.","La parole humaine normale est pulmonique, produite avec la pression des poumons qui crée la phonation dans les glattis dans le larynx qui est ensuite modifiée par le chant et la bouche en différentes voyelles et consonnes..........................................................................","Le langage humain normal est pulmonique, produit avec la pression des poumons, ce qui crée la phonation dans les glattis dans le larynx qui est ensuite modifié par le chant et la bouche en différentes voyelles et consonnes........................................................................"
Speech,"However humans can pronounce words without the use of the lungs and glottis in alaryngeal speech, of which there are three types: esophageal speech, pharyngeal speech and buccal speech (better known as Donald Duck talk).","Cependant, les humains peuvent prononcer des mots sans utiliser les poumons et les glattis dans le discours alaryngéal, dont il existe trois types : le discours oesophagien, le discours pharyngéal et le discours buccal (plus connu sous le nom de Donald Duck).","Cependant les humains peuvent prononcer des paroles sans utiliser les poumons et les glattis dans le discours alaryngéal, dont il existe trois types : le discours ésophageal, le discours pharyngéal et le discours buccal (plus connu sous le nom de Donald Duck).","Cependant les humains peuvent prononcer des paroles sans utiliser les poumons et les glattis dans le discours alaryngéal, dont il existe trois types : le discours ésophageal, le discours pharyngéal et le discours buccal (plus connu sous le nom de Donald Duck).","Cependant les humains peuvent prononcer des mots sans utiliser les poumons et les glattis dans le discours alaryngéal, dont il existe trois types : le discours ésophageal, le discours pharyngéal et le discours buccal (plus connu sous le nom de Donald Duck)."
Speech,"Speech production is a complex activity, and as a consequence errors are common, especially in children.","La production de discours est une activité complexe et, par conséquent, les erreurs sont fréquentes, surtout chez les enfants.","La production de la parole est une activité complexe et par conséquent les erreurs sont fréquentes, en particulier chez les enfants.","La production de discours est une activité complexe et par conséquent les erreurs sont fréquentes, en particulier chez les enfants et les adolescents......................................................................................................","La production de discours est une activité complexe et par conséquent les erreurs sont fréquentes, en particulier chez les enfants et les adolescents en particulier...................................................................................................."
