,Sentence,Annotation
32,” 帕斯特尔纳克的父亲在执法部门工作为乌克兰机密局为期26年。,"” x
  x
帕斯 nr
特尔纳 nrt
克 m
的 uj
父亲 n
在 p
执法 v
部门 n
工作 vn
为 p
乌克兰 nr
机密 n
局 n
为期 r
26 m
年 m
。 x
"
33,但是我坚持不是少数的寄生虫而是大众自身应为这可怕的事态负责。,"但是 c
我 r
坚持 v
不是 c
少数 m
的 uj
寄生虫 n
而是 c
大众 n
自身 r
应为 v
这 r
可怕 c
的 uj
事态 n
负责 v
。 x
"
34,这也解释了为什麽日冕物质抛射和闪焰通常会从太阳上磁场比平均要强的多被称为活跃区的活动区域爆发。,"这 r
也 d
解释 v
了 ul
为什 nrt
麽 x
日冕 n
物质 n
抛射 v
和 c
闪焰 n
通常 d
会 v
从 p
太阳 ns
上 f
磁场 n
比 p
平均 a
要强 v
的 uj
多 m
被 p
称为 v
活跃 vn
区 n
的 uj
活动 vn
区域 n
爆发 v
。 x
"
35,马克思主义通过留学国外的资本主义知识分子和来自意大利的马克思主义者被传播到利比亚。,"马克思主义 n
通过 p
留学 v
国外 s
的 uj
资本主义 n
知识分子 n
和 c
来自 v
意大利 ns
的 uj
马克思主义者 n
被 p
传播 vn
到 v
利比亚 ns
。 x
"
36,他曾说：“对于一个拥有四个组委会和四个媒体中心以及一系列财政问题的执委会来说开展工作困难重重。,"他 r
曾 d
说 v
： x
“ x
对于 p
一个 m
拥有 v
四个 m
组委会 n
和 c
四个 m
媒体 n
中心 n
以及 c
一系列 m
财政 n
问题 n
的 uj
执委会 j
来说 u
开展 v
工作 vn
困难重重 l
。 x
"
37,这个决定被视为阻止了基于美国及其北约盟国错误数据的报复性核攻击可能导致冷战僵局立即升级到一场全面的核战争。,"这个 r
决定 v
被 p
视为 v
阻止 v
了 ul
基于 p
美国 ns
及其 c
北约 ns
盟国 n
错误 n
数据 n
的 uj
报复性 n
核 n
攻击 v
可能 v
导致 v
冷战 v
僵局 n
立即 d
升级 vn
到 v
一场 m
全面 n
的 uj
核战争 n
。 x
"
38,这一区域包括今日的比利时和卢森堡的全部以及法国和德国北部的部分地区。,"这 r
一 m
区域 n
包括 v
今日 t
的 uj
比利时 ns
和 c
卢森堡 nr
的 uj
全部 n
以及 c
法国 ns
和 c
德国 ns
北部 f
的 uj
部分 n
地区 n
。 x
"
39,该术语意指设计团队在未使用竞争对手任何专有技术知识的“干净”或明显不受污染的环境中工作。,"该 r
术语 n
意指 n
设计 vn
团队 n
在 p
未 t
使用 v
竞争对手 n
任何 r
专有 b
技术 n
知识 v
的 uj
“ x
干净 a
” x
或 c
明显 a
不 d
受 v
污染 vn
的 uj
环境中工作 n
。 x
"
40,《超感8人组》拍摄期间沃卓斯基姐妹每天完成10至15页剧本远远超过她们在常规大制作电影中的每天2-3页。,"《 x
超感 v
8 m
人组 n
》 x
拍摄 v
期间 f
沃卓斯 nr
基 n
姐妹 n
每天 r
完成 v
10 m
至 p
15 m
页 m
剧本 n
远远 d
超过 v
她们 r
在 p
常规 n
大 a
制作 vn
电影 n
中 f
的 uj
每天 r
2 x
- x
3 m
页 m
。 x
"
41,目前使用油轮卡车将酒从种植园运到下游Barcos Rabelos仅仅用来竞技或展览。,"目前 t
使用 v
油轮 n
卡车 n
将酒 n
从 p
种植园 n
运到 v
下游 f
Barcos eng
  x
Rabelos eng
仅仅 d
用来 v
竞技 n
或 c
展览 v
。 x
"
42,与之相反政府一方的律师坚称文章中有不属于公有领域的敏感信息如果公布将会对防止核武器扩散构成不利影响。,"与 p
之 f
相反 v
政府 n
一方 m
的 uj
律师 n
坚称 v
文章 n
中 f
有 v
不 d
属于 v
公有 b
领域 n
的 uj
敏感 a
信息 n
如果 c
公布 v
将 d
会 v
对 p
防止 v
核武器 n
扩散 v
构成 v
不利 a
影响 vn
。 x
"
43,菲谢尔·希尔斯凯 Fishel Shilsky aka Tateh: 路德的爸爸。,"菲谢尔 nrt
· x
希尔斯 nrt
凯 nr
  x
Fishel eng
  x
Shilsky eng
  x
aka eng
  x
Tateh eng
: x
  x
路德 nrt
的 uj
爸爸 n
。 x
"
44,首演于1943年10月9日进行由伊戈尔·施维佐夫（Igor Schwezoff）改编鲍里斯·阿伦森（Boris Aronson）负责舞台布景。,"首演 n
于 p
1943 m
年 m
10 m
月 m
9 m
日 m
进行 v
由 p
伊戈尔 nr
· x
施维 nr
佐夫 nrt
（ x
Igor eng
  x
Schwezoff eng
） x
改编 v
鲍里斯 nr
· x
阿伦 nr
森 n
（ x
Boris eng
  x
Aronson eng
） x
负责 v
舞台 n
布景 n
。 x
"
45,游戏最初是专为Microsoft Windows和Xbox 360平台开发工作量均等。,"游戏 n
最初 t
是 v
专为 d
Microsoft eng
  x
Windows eng
和 c
Xbox eng
  x
360 m
平台 n
开发 v
工作量 n
均等 a
。 x
"
46,在他发给约翰·洛克的一个从未发表的手稿中他质疑了三位一体的存在性。,"在 p
他 r
发给 vn
约翰 nrt
· x
洛克 ns
的 uj
一个 m
从未 d
发表 v
的 uj
手稿 n
中 f
他 r
质疑 v
了 ul
三位一体 l
的 uj
存在 v
性 n
。 x
"
47,立陶宛语名字在各编年史作者耳中听来模糊不清比较陌生所以这些人对立陶宛语名字做出些许改动以使它们听来更像他们母语的名字。,"立陶宛语 nz
名字 n
在 p
各 r
编年史 n
作者 n
耳中 s
听来 v
模糊不清 l
比较 d
陌生 n
所以 c
这些 r
人 n
对 p
立陶宛语 nz
名字 n
做出 v
些许 d
改动 vn
以 p
使 v
它们 r
听来 v
更 d
像 v
他们 r
母语 n
的 uj
名字 n
。 x
"
48,2011年本片正式失去戴-路易斯、狄奥·托罗和贾西亚·贝纳的参与。,"2011 m
年 m
本片 n
正式 ad
失去 v
戴 v
- x
路易斯 nrt
、 x
狄奥 nr
· x
托罗 nrt
和 c
贾 nr
西亚 ns
· x
贝纳 nr
的 uj
参与 v
。 x
"
49,随着时间的推移核心家庭中传统“父亲”和“母亲”角色的界限已经变得模糊。,"随着 p
时间 n
的 uj
推移 v
核心家庭 n
中 f
传统 n
“ x
父亲 n
” x
和 c
“ x
母亲 n
” x
角色 n
的 uj
界限 n
已经 d
变得 v
模糊 a
。 x
"
50,一家人都对音乐感兴趣并收集了一些乐器。,"一家人 n
都 d
对 p
音乐 n
感兴趣 n
并 c
收集 v
了 ul
一些 m
乐器 n
。 x
"
51,2003年在他的文章《Wiki的原则：大脑的舞蹈》（Das Wiki-Prinzip: Tanz der Gehirne）中他给出了维基百科和wiki的一些背景同时也阐述了他对该项目优点的了解、防止破坏条目的方法和维基百科用户的礼仪等观点。,"2003 m
年 m
在 p
他 r
的 uj
文章 n
《 x
Wiki eng
的 uj
原则 n
： x
大脑 n
的 uj
舞蹈 n
》 x
（ x
Das eng
  x
Wiki eng
- x
Prinzip eng
: x
  x
Tanz eng
  x
der eng
  x
Gehirne eng
） x
中 f
他 r
给出 v
了 ul
维基百科 nz
和 c
wiki eng
的 uj
一些 m
背景 n
同时 c
也 d
阐述 v
了 ul
他 r
对 p
该 r
项目 n
优点 n
的 uj
了解 v
、 x
防止 v
破坏 v
条 n
目的 n
方法 n
和 c
维基百科 nz
用户 n
的 uj
礼仪 n
等 u
观点 n
。 x
"
52,2008年底时路透社新闻曾报导：由于柬埔寨的鼠肉售价急升四倍令当地穷人无法再负担。,"2008 m
年底 t
时 n
路透社 n
新闻 n
曾 d
报导 n
： x
由于 c
柬埔寨 ns
的 uj
鼠肉 n
售价 n
急升 v
四倍 m
令 v
当地 s
穷人 n
无法 n
再 d
负担 v
。 x
"
53,但论战双方都已受到不小的伤害 。,"但 c
论战 nz
双方 n
都 d
已 d
受到 v
不小 a
的 uj
伤害 a
  x
。 x
"
54,这使城邦们可以维持自身的自主性也可以与强盛的敌人对抗。,"这 r
使 v
城邦 n
们 k
可以 c
维持 v
自身 r
的 uj
自主性 n
也 d
可以 c
与 p
强盛 a
的 uj
敌人 n
对抗 v
。 x
"
55,战后邮局和铁路文件连同国家表格、公债和彩票再次得以印刷。,"战后 t
邮局 n
和 c
铁路 n
文件 n
连同 a
国家 n
表格 n
、 x
公债 n
和 c
彩票 n
再次 d
得以 v
印刷 vn
。 x
"
56,2007年3月据说詹姆森因其最近阴道成形术的问题缺席与制片人的会议从而危及电影的拍摄。,"2007 m
年 m
3 m
月 m
据说 v
詹姆森 nr
因 p
其 r
最近 f
阴道 n
成形术 n
的 uj
问题 n
缺席 n
与 p
制片人 n
的 uj
会议 n
从而 c
危及 v
电影 n
的 uj
拍摄 v
。 x
"
57,通常一位地基的观测者的观测资料包括时间标记、方位角、高度角、斜距和/或范围率值。,"通常 d
一位 m
地基 n
的 uj
观测者 n
的 uj
观测 vn
资料 n
包括 v
时间 n
标记 n
、 x
方位角 n
、 x
高度 n
角 n
、 x
斜距 n
和 c
/ x
或 c
范围 n
率值 v
。 x
"
58,2015年1月比利时发起反恐行动端掉一个策划在布鲁塞尔和扎芬特姆制造第二起查理周刊总部枪击案的团伙。,"2015 m
年 m
1 m
月 m
比利时 ns
发起 v
反恐 v
行动 vn
端掉 v
一个 m
策划 n
在 p
布鲁塞尔 ns
和扎芬 nr
特姆 nrt
制造 v
第二 m
起 v
查理 v
周刊 n
总部 n
枪击案 n
的 uj
团伙 n
。 x
"
59,他后来在耶鲁大学戏剧学院（英语：Yale School of Drama）获得了艺术创作硕士学位且在那还认识了同学及他未来的妻子安琪拉·贝瑟。,"他 r
后来 t
在 p
耶鲁大学 nt
戏剧学院 nt
（ x
英语 nz
： x
Yale eng
  x
School eng
  x
of eng
  x
Drama eng
） x
获得 v
了 ul
艺术创作 n
硕士学位 n
且 c
在 p
那 r
还 d
认识 v
了 ul
同学 n
及 c
他 r
未来 t
的 uj
妻子 n
安琪拉 nr
· x
贝瑟 nr
。 x
"
60,2010年非营利组织太空基金会（英语：Space Foundation）调查了美国公众心中最受欢迎的太空英雄谢泼德与巴兹·奥尔德林和维吉尔·格里森并列第九位。,"2010 m
年 m
非营利 ns
组织 v
太空 n
基金会 n
（ x
英语 nz
： x
Space eng
  x
Foundation eng
） x
调查 vn
了 ul
美国 ns
公众 n
心中 s
最 d
受欢迎 v
的 uj
太空 n
英雄 ns
谢泼德 nr
与 p
巴兹 ns
· x
奥尔德 nr
林和 nr
维吉尔 nr
· x
格里森 nr
并列 v
第九位 m
。 x
"
61,雷定五世的故事〈圣灵的兄弟〉是布伦丹·康奈尔的故事集《波利克拉的一生和其他童话》其中一篇短篇。,"雷定 nr
五世 nrt
的 uj
故事 n
〈 x
圣灵 n
的 uj
兄弟 n
〉 x
是 v
布伦丹 nr
· x
康奈尔 nr
的 uj
故事集 n
《 x
波利克拉 ns
的 uj
一生 m
和 c
其他 r
童话 n
》 x
其中 r
一篇 m
短篇 b
。 x
"
62,来自不相重迭区域的鲸唱的歌声基本单位完全不同。,"来自 v
不 d
相 v
重迭 d
区域 n
的 uj
鲸 n
唱的歌 n
声 n
基本 n
单位 n
完全 ad
不同 a
。 x
"
63,他出生在华盛顿特区他的父亲是一名外交官。,"他 r
出生 v
在 p
华盛顿 ns
特区 n
他 r
的 uj
父亲 n
是 v
一名 m
外交官 n
。 x
"
64,该党概述了三个重点即民政党的意识形态政策方向及倡导马来西亚各种重大问题的解决方案以重建重塑及重振党各阶层以重获人民的信任。,"该党 r
概述 v
了 ul
三个 m
重点 n
即 v
民政党 nt
的 uj
意识形态 l
政策 n
方向 n
及 c
倡导 v
马来西亚 ns
各种 r
重大 a
问题 n
的 uj
解决方案 n
以 p
重建 a
重塑 n
及 c
重振 a
党 n
各阶层 l
以 p
重获 v
人民 n
的 uj
信任 n
。 x
"
65,该月刊以每年订阅一次提供给读者并且读者群来自超过全世界140个国家的运输业专业人士和决策者、铁路管理者、工程师、顾问和铁路业的供应商。,"该 r
月刊 n
以 p
每年 r
订阅 v
一次 m
提供 v
给 p
读者 n
并且 c
读者群 n
来自 v
超过 v
全世界 n
140 m
个 m
国家 n
的 uj
运输业 n
专业人士 n
和 c
决策者 n
、 x
铁路 n
管理者 n
、 x
工程师 n
、 x
顾问 nr
和 c
铁路 n
业 ng
的 uj
供应商 n
。 x
"
66,在杀了当地的危险杀人蟒蛇后得到当地部落许可定居于当地他们皈依伊斯兰教并和当地的妇女结婚。,"在 p
杀 v
了 ul
当地 s
的 uj
危险 an
杀人 n
蟒蛇 n
后 f
得到 v
当地 s
部落 n
许可 nr
定居 v
于 p
当地 s
他们 r
皈依 v
伊斯兰教 nz
并 c
和 c
当地 s
的 uj
妇女 n
结婚 v
。 x
"
67,2002年10月23日第一次为期三天的世界麻将锦标赛在日本东京饭田桥举行但是这次锦标赛并没有被认为是第一届世界麻将锦标赛。,"2002 m
年 m
10 m
月 m
23 m
日 m
第一次 m
为期 r
三天 m
的 uj
世界 n
麻将 n
锦标赛 n
在 p
日本 ns
东京 ns
饭田 n
桥 n
举行 v
但是 c
这次 r
锦标赛 n
并 c
没有 v
被 p
认为 v
是 v
第一届 m
世界 n
麻将 n
锦标赛 n
。 x
"
68,要使用.bit域名用户需要Namecoin区块链、支持该域名的DNS服务器或者是浏览器插件。,"要 v
使用 v
. m
bit eng
域名 n
用户 n
需要 v
Namecoin eng
区块 n
链 n
、 x
支持 v
该 r
域名 n
的 uj
DNS eng
服务器 n
或者 c
是 v
浏览器 n
插件 n
。 x
"
69,芝加哥波兰人直到现在依然延续着这个传统并以节日庆典和每年一次的波兰宪法日游行来庆祝它；全美国的名人每年都要游说芝加哥波兰人其中最著名的就是肯尼迪。,"芝加哥 ns
波兰人 nz
直到现在 l
依然 d
延续 v
着 uz
这个 r
传统 n
并 c
以 p
节日 t
庆典 ns
和 c
每年 r
一次 m
的 uj
波兰 ns
宪法 n
日 m
游行 v
来 v
庆祝 v
它 r
； x
全 a
美国 ns
的 uj
名人 n
每年 r
都 d
要 v
游说 n
芝加哥 ns
波兰人 nz
其中 r
最 d
著名 a
的 uj
就是 d
肯尼迪 nr
。 x
"
70,在争夺桥梁的战斗中叙利亚军队对城内发动了持续且猛烈的炮击导致数十名扎赫勒市民受伤而叙利亚军队在战斗中也损失了大约50名士兵。,"在 p
争夺 v
桥梁 n
的 uj
战斗 vn
中 f
叙利亚 ns
军队 n
对 p
城内 s
发动 vn
了 ul
持续 vd
且 zg
猛烈 a
的 uj
炮击 v
导致 v
数十名 m
扎赫勒 nrt
市民 n
受伤 v
而 c
叙利亚 ns
军队 n
在 p
战斗 vn
中 f
也 d
损失 n
了 ul
大约 d
50 m
名 n
士兵 n
。 x
"
71,这家新公司后来更名为IDW Media Holdings由IDW和CTM Media Group的多数股权组成。,"这家 r
新 a
公司 n
后来 t
更名 v
为 p
IDW eng
  x
Media eng
  x
Holdings eng
由 c
IDW eng
和 c
CTM eng
  x
Media eng
  x
Group eng
的 uj
多数 m
股权 n
组成 v
。 x
"
72,尤其重要的是研究与实践之间的合作例如评估研究的形式对持续改进实践的贡献。,"尤其 d
重要 a
的 uj
是 v
研究 vn
与 p
实践 v
之间 f
的 uj
合作 vn
例如 v
评估 vn
研究 vn
的 uj
形式 n
对 p
持续 vd
改进 v
实践 v
的 uj
贡献 n
。 x
"
73,CELT旨在弥合Vorbis和Speex之间的差距适用于需要高质量音频和低延迟的应用。,"CELT eng
旨在 v
弥合 v
Vorbis eng
和 c
Speex eng
之间 f
的 uj
差距 n
适用 v
于 p
需要 v
高质量 n
音频 n
和 c
低 a
延迟 v
的 uj
应用 v
。 x
"
74,此外她与“Hardwell”合作而成的“Apollo”一曲在“Beatport Top 100”音乐排行榜上亦曾位列第1位。,"此外 c
她 r
与 p
“ x
Hardwell eng
” x
合作 vn
而 c
成 v
的 uj
“ x
Apollo eng
” x
一曲 m
在 p
“ x
Beatport eng
  x
Top eng
  x
100 m
” x
音乐 n
排行榜 n
上 f
亦 d
曾 d
位列 v
第 m
1 m
位 v
。 x
"
75,Rittel和Kunz则基于这样的认知开发了一种称为问题基底资讯系统（Issue-Based Information SystemIBIS）的技术该技术有助于以客观的方式记录群体决策背后的原理及脉络。,"Rittel eng
和 c
Kunz eng
则 d
基于 p
这样 r
的 uj
认知 v
开发 v
了 ul
一种 m
称为 v
问题 n
基底 n
资讯 n
系统 n
（ x
Issue eng
- x
Based eng
  x
Information eng
  x
SystemIBIS eng
） x
的 uj
技术 n
该 r
技术 n
有助于 v
以 p
客观 n
的 uj
方式 n
记录 n
群体决策 n
背后 f
的 uj
原理 n
及 c
脉络 n
。 x
"
76,这些即引起了关于黄道带表示的年代之议论范围从好几万年到一千年到几百年以及黄道带是一个 活动星图还是一个占星盘。,"这些 r
即 v
引起 v
了 ul
关于 p
黄道带 nr
表示 v
的 uj
年代 t
之 u
议论 n
范围 n
从 p
好几万 m
年 m
到 v
一千年 m
到 v
几百年 m
以及 c
黄道带 nr
是 v
一个 m
  x
活动 vn
星图 n
还是 c
一个 m
占 v
星盘 n
。 x
"
77,（县内第10处施行市制。,"（ x
县内 n
第 m
10 m
处 v
施行 v
市制 n
。 x
"
78,:23:11-14。,": x
23 m
: x
11 m
- x
14 m
。 x
"
79,宋正本被人进谗言窦建德将他杀害。,"宋 nr
正本 a
被 p
人 n
进 v
谗言 n
窦建德 nr
将 d
他 r
杀害 v
。 x
"
80,十六卷中的红衣巫女即是她。,"十六卷 m
中 f
的 uj
红衣 n
巫女 n
即是 c
她 r
。 x
"
81,当年7月Winamp各种版本的下载次数已经超过300万次。,"当年 t
7 m
月 m
Winamp eng
各种 r
版本 n
的 uj
下载 v
次数 n
已经 d
超过 v
300 m
万次 m
。 x
"
